customer_id,total_orders,total_units,total_revenue,total_profit,first_order_date,last_order_date,aov,profit_margin,customer_type,recency,R_score,F_score,M_score,RFM_score,segment,activity_status
10017,3,6.0,88797.7,42064.979999999996,2025-08-31,2025-12-06,29599.23,47.37,Repeat,26,5,2,4,524,New Customers,Active
10018,4,10.0,45559.21,21581.52,2024-09-22,2025-12-06,11389.8,47.37,Repeat,26,5,3,3,533,Loyal Customers,Active
10019,5,19.0,246519.69999999998,78952.68000000001,2024-01-10,2025-04-01,49303.94,32.03,Repeat,275,2,4,5,245,At Risk,Inactive
10020,5,16.0,89616.65,42426.56,2024-03-28,2025-09-09,17923.33,47.34,Repeat,114,3,4,4,344,Potential Loyalists,At Risk
10021,6,14.0,51136.83,19877.18,2024-02-01,2025-10-15,8522.8,38.87,Repeat,78,4,5,3,453,Loyal Customers,Active
10022,6,18.0,121162.72,51697.86,2024-08-03,2025-09-22,20193.79,42.67,Repeat,101,4,5,5,455,Champions,At Risk
10023,3,6.0,23055.68,8776.4,2024-10-09,2025-12-14,7685.23,38.07,Repeat,18,5,2,2,522,New Customers,Active
10024,2,7.0,5620.99,2106.31,2024-01-21,2025-01-25,2810.5,37.47,Repeat,341,1,1,1,111,Lost Customers,Inactive
10025,3,5.0,3366.08,1430.3,2024-06-05,2025-12-29,1122.03,42.49,Repeat,3,5,2,1,521,New Customers,Active
10026,4,9.0,36817.86,15718.34,2024-03-31,2025-08-09,9204.46,42.69,Repeat,145,3,3,3,333,Potential Loyalists,At Risk
10027,5,15.0,148984.47999999998,75695.95999999999,2024-06-24,2025-08-22,29796.9,50.81,Repeat,132,3,4,5,345,Potential Loyalists,At Risk
10028,1,3.0,1216.04,539.39,2025-12-08,2025-12-08,1216.04,44.36,One-time,24,5,1,1,511,New Customers,Active
10029,2,7.0,16746.3,7279.7300000000005,2024-07-17,2024-11-23,8373.15,43.47,Repeat,404,1,1,2,112,Lost Customers,Inactive
10030,5,21.0,197304.37,89461.52,2024-02-12,2025-12-02,39460.87,45.34,Repeat,30,5,4,5,545,Champions,Active
10031,8,20.0,41733.67,18914.63,2024-02-09,2025-09-13,5216.71,45.32,Repeat,110,3,5,3,353,Potential Loyalists,At Risk
10032,3,7.0,22816.14,11675.86,2024-01-22,2025-07-20,7605.38,51.17,Repeat,165,3,2,2,322,Potential Loyalists,At Risk
10033,1,1.0,591.4,150.38,2025-10-13,2025-10-13,591.4,25.43,One-time,80,4,1,1,411,New Customers,Active
10034,4,12.0,98209.51000000001,37837.55,2024-04-08,2025-09-24,24552.38,38.53,Repeat,99,4,3,5,435,Loyal Customers,At Risk
10035,4,8.0,19888.48,10129.32,2024-03-12,2025-04-11,4972.12,50.93,Repeat,265,2,3,2,232,At Risk,Inactive
10036,2,4.0,18080.149999999998,7024.47,2024-06-11,2024-10-06,9040.07,38.85,Repeat,452,1,1,2,112,Lost Customers,Inactive
10037,5,14.0,30408.39,15762.4,2024-01-20,2025-05-08,6081.68,51.84,Repeat,238,2,4,2,242,At Risk,Inactive
10038,4,12.0,42904.89,20560.88,2024-04-13,2025-11-09,10726.22,47.92,Repeat,53,4,3,3,433,Loyal Customers,Active
10039,4,9.0,25882.899999999998,10242.76,2024-07-20,2025-08-02,6470.72,39.57,Repeat,152,3,3,2,332,Potential Loyalists,At Risk
10040,2,10.0,35701.48,17387.99,2024-07-10,2025-03-23,17850.74,48.7,Repeat,284,2,1,3,213,Lost Customers,Inactive
10041,4,6.0,79714.53,34958.47,2024-04-24,2024-10-24,19928.63,43.85,Repeat,434,1,3,4,134,At Risk,Inactive
10042,1,3.0,2207.88,1127.24,2025-04-25,2025-04-25,2207.88,51.06,One-time,251,2,1,1,211,Lost Customers,Inactive
10043,7,9.0,85358.68999999999,39839.86,2024-01-30,2025-10-31,12194.1,46.67,Repeat,62,4,5,4,454,Champions,Active
10044,5,13.0,46281.47,19720.16,2024-02-19,2025-09-25,9256.29,42.61,Repeat,98,4,4,3,443,Loyal Customers,At Risk
10045,2,2.0,17074.85,9238.48,2024-08-13,2025-07-07,8537.42,54.11,Repeat,178,3,1,2,312,Potential Loyalists,At Risk
10046,1,1.0,20745.45,6913.53,2024-06-26,2024-06-26,20745.45,33.33,One-time,554,1,1,2,112,Lost Customers,Inactive
10047,3,10.0,59525.32,26448.18,2024-09-02,2025-06-22,19841.77,44.43,Repeat,193,2,2,4,224,Lost Customers,Inactive
10048,5,10.0,14923.41,5825.77,2024-02-14,2025-09-18,2984.68,39.04,Repeat,105,4,4,2,442,Loyal Customers,At Risk
10049,3,5.0,25840.730000000003,13889.82,2024-02-28,2025-03-19,8613.58,53.75,Repeat,288,2,2,2,222,Lost Customers,Inactive
10050,1,2.0,2348.42,1025.46,2025-03-04,2025-03-04,2348.42,43.67,One-time,303,2,1,1,211,Lost Customers,Inactive
10051,4,7.0,101584.62000000001,38975.86,2024-01-21,2025-12-25,25396.16,38.37,Repeat,7,5,3,5,535,Loyal Customers,Active
10052,2,6.0,24760.51,11227.519999999999,2024-03-15,2024-11-21,12380.26,45.34,Repeat,406,1,1,2,112,Lost Customers,Inactive
10053,1,1.0,986.72,323.54,2025-07-07,2025-07-07,986.72,32.79,One-time,178,3,1,1,311,Potential Loyalists,At Risk
10054,2,3.0,7652.629999999999,2512.03,2024-08-06,2025-05-06,3826.31,32.83,Repeat,240,2,1,1,211,Lost Customers,Inactive
10055,4,12.0,39726.08,17975.93,2024-06-27,2025-12-18,9931.52,45.25,Repeat,14,5,3,3,533,Loyal Customers,Active
10056,5,14.0,209695.0,110013.63999999998,2024-03-15,2025-08-24,41939.0,52.46,Repeat,130,3,4,5,345,Potential Loyalists,At Risk
10057,6,18.0,77474.16,36215.57,2024-02-27,2025-12-16,12912.36,46.75,Repeat,16,5,5,4,554,Champions,Active
10058,2,5.0,19276.36,7869.879999999999,2024-08-07,2025-11-15,9638.18,40.83,Repeat,47,5,1,2,512,New Customers,Active
10059,4,9.0,119294.04000000001,44956.19,2024-04-05,2025-11-26,29823.51,37.69,Repeat,36,5,3,5,535,Loyal Customers,Active
10061,5,16.0,11194.53,4114.61,2024-03-17,2025-10-08,2238.91,36.76,Repeat,85,4,4,1,441,Loyal Customers,Active
10062,3,8.0,68990.04999999999,28618.5,2024-04-21,2025-04-22,22996.68,41.48,Repeat,254,2,2,4,224,Lost Customers,Inactive
10063,4,17.0,109903.48,46803.36,2024-01-26,2025-09-28,27475.87,42.59,Repeat,95,4,3,5,435,Loyal Customers,At Risk
10064,3,4.0,4166.46,1736.3799999999999,2024-05-26,2025-08-11,1388.82,41.68,Repeat,143,3,2,1,321,Potential Loyalists,At Risk
10065,3,5.0,6543.57,2339.5,2024-02-03,2024-07-01,2181.19,35.75,Repeat,549,1,2,1,121,Lost Customers,Inactive
10066,4,8.0,40593.44,19526.690000000002,2024-07-15,2025-10-19,10148.36,48.1,Repeat,74,4,3,3,433,Loyal Customers,Active
10067,2,5.0,2512.0,1073.49,2025-06-27,2025-10-26,1256.0,42.73,Repeat,67,4,1,1,411,New Customers,Active
10068,2,5.0,22677.149999999998,10517.91,2025-05-16,2025-07-29,11338.58,46.38,Repeat,156,3,1,2,312,Potential Loyalists,At Risk
10069,6,25.0,206764.16,92296.67,2024-03-09,2025-11-14,34460.69,44.64,Repeat,48,5,5,5,555,Champions,Active
10070,2,6.0,8684.09,4384.22,2025-08-12,2025-11-27,4342.04,50.49,Repeat,35,5,1,1,511,New Customers,Active
10071,2,7.0,65081.420000000006,29578.39,2025-05-15,2025-06-05,32540.71,45.45,Repeat,210,2,1,4,214,Lost Customers,Inactive
10072,4,8.0,27130.33,9973.42,2024-02-01,2025-12-12,6782.58,36.76,Repeat,20,5,3,2,532,Loyal Customers,Active
10073,3,9.0,103170.29000000001,41469.67,2024-08-01,2025-06-26,34390.1,40.2,Repeat,189,2,2,5,225,Lost Customers,Inactive
10074,4,5.0,37149.02,16557.38,2024-07-16,2025-09-19,9287.25,44.57,Repeat,104,4,3,3,433,Loyal Customers,At Risk
10075,4,10.0,134341.92,59101.12,2024-02-20,2025-09-11,33585.48,43.99,Repeat,112,3,3,5,335,Potential Loyalists,At Risk
10076,5,15.0,39558.79,19882.5,2024-02-03,2025-12-16,7911.76,50.26,Repeat,16,5,4,3,543,Loyal Customers,Active
10077,3,8.0,18291.739999999998,7811.0599999999995,2024-01-25,2025-05-05,6097.25,42.7,Repeat,241,2,2,2,222,Lost Customers,Inactive
10078,4,11.0,94994.40000000001,47590.69,2024-02-10,2025-03-18,23748.6,50.1,Repeat,289,2,3,4,234,At Risk,Inactive
10079,2,8.0,24959.18,14202.66,2024-06-26,2025-06-15,12479.59,56.9,Repeat,200,2,1,2,212,Lost Customers,Inactive
10080,5,13.0,15088.28,7702.51,2024-02-08,2025-12-03,3017.66,51.05,Repeat,29,5,4,2,542,Loyal Customers,Active
10081,5,11.0,84202.34000000001,44080.189999999995,2025-02-01,2025-11-01,16840.47,52.35,Repeat,61,4,4,4,444,Champions,Active
10082,5,16.0,201642.63999999998,82052.41,2024-05-30,2025-12-16,40328.53,40.69,Repeat,16,5,4,5,545,Champions,Active
10083,5,13.0,31515.140000000003,12056.36,2024-02-09,2024-10-24,6303.03,38.26,Repeat,434,1,4,2,142,At Risk,Inactive
10084,3,7.0,38013.1,17393.48,2024-06-12,2025-12-14,12671.03,45.76,Repeat,18,5,2,3,523,New Customers,Active
10085,4,19.0,62091.810000000005,24785.27,2024-07-12,2025-06-05,15522.95,39.92,Repeat,210,2,3,4,234,At Risk,Inactive
10086,3,9.0,46236.81,22012.22,2024-01-03,2025-12-12,15412.27,47.61,Repeat,20,5,2,3,523,New Customers,Active
10087,3,13.0,44396.59,15378.5,2024-05-12,2025-04-20,14798.86,34.64,Repeat,256,2,2,3,223,Lost Customers,Inactive
10088,2,6.0,4020.3,1493.98,2024-04-27,2025-04-28,2010.15,37.16,Repeat,248,2,1,1,211,Lost Customers,Inactive
10089,3,19.0,220495.84,112597.97,2024-08-21,2025-04-21,73498.61,51.07,Repeat,255,2,2,5,225,Lost Customers,Inactive
10090,2,2.0,35202.74,19589.91,2024-03-13,2025-10-30,17601.37,55.65,Repeat,63,4,1,3,413,New Customers,Active
10091,5,18.0,218797.41,85783.3,2024-02-04,2025-07-21,43759.48,39.21,Repeat,164,3,4,5,345,Potential Loyalists,At Risk
10092,6,30.0,148135.45,64415.520000000004,2024-01-19,2025-07-27,24689.24,43.48,Repeat,158,3,5,5,355,Potential Loyalists,At Risk
10093,4,15.0,36131.15,14941.7,2024-01-08,2025-09-28,9032.79,41.35,Repeat,95,4,3,3,433,Loyal Customers,At Risk
10094,2,3.0,4373.49,1972.32,2024-04-28,2024-07-11,2186.74,45.1,Repeat,539,1,1,1,111,Lost Customers,Inactive
10095,3,6.0,77355.78,39549.74,2024-06-01,2025-12-03,25785.26,51.13,Repeat,29,5,2,4,524,New Customers,Active
10096,3,9.0,153507.36000000002,82739.19,2024-03-03,2025-09-02,51169.12,53.9,Repeat,121,3,2,5,325,Potential Loyalists,At Risk
10097,3,9.0,51226.56,20667.15,2024-02-23,2024-07-04,17075.52,40.34,Repeat,546,1,2,3,123,Lost Customers,Inactive
10098,3,3.0,9058.3,5132.81,2024-02-11,2024-10-29,3019.43,56.66,Repeat,429,1,2,1,121,Lost Customers,Inactive
10099,2,3.0,8555.12,3559.2300000000005,2024-05-24,2024-06-03,4277.56,41.6,Repeat,577,1,1,1,111,Lost Customers,Inactive
10100,4,6.0,9559.02,4162.23,2024-07-11,2025-05-10,2389.76,43.54,Repeat,236,2,3,1,231,At Risk,Inactive
10101,3,7.0,9997.51,4773.67,2024-06-17,2025-08-25,3332.5,47.75,Repeat,129,3,2,1,321,Potential Loyalists,At Risk
10102,5,13.0,75583.62,37266.5,2024-02-14,2025-09-03,15116.72,49.3,Repeat,120,3,4,4,344,Potential Loyalists,At Risk
10103,6,15.0,124760.0,58433.31,2024-01-29,2025-10-30,20793.33,46.84,Repeat,63,4,5,5,455,Champions,Active
10104,3,5.0,53721.22,26895.3,2024-07-11,2025-12-13,17907.07,50.06,Repeat,19,5,2,3,523,New Customers,Active
10105,4,8.0,37573.869999999995,21366.98,2024-05-10,2025-04-24,9393.47,56.87,Repeat,252,2,3,3,233,At Risk,Inactive
10106,4,8.0,109140.34,40828.33,2024-06-01,2024-11-15,27285.08,37.41,Repeat,412,1,3,5,135,At Risk,Inactive
10107,6,19.0,239072.74,97949.06,2024-04-20,2025-12-15,39845.46,40.97,Repeat,17,5,5,5,555,Champions,Active
10108,4,8.0,13143.68,6616.21,2024-08-18,2025-12-09,3285.92,50.34,Repeat,23,5,3,1,531,Loyal Customers,Active
10109,5,9.0,15632.710000000001,8486.32,2024-03-20,2025-06-05,3126.54,54.29,Repeat,210,2,4,2,242,At Risk,Inactive
10110,8,14.0,26235.8,11493.97,2024-02-01,2025-11-04,3279.48,43.81,Repeat,58,4,5,2,452,Loyal Customers,Active
10111,3,8.0,47515.399999999994,23627.11,2024-10-20,2025-07-12,15838.47,49.73,Repeat,173,3,2,3,323,Potential Loyalists,At Risk
10112,5,15.0,81927.76,35004.31,2024-08-17,2025-08-27,16385.55,42.73,Repeat,127,3,4,4,344,Potential Loyalists,At Risk
10113,2,4.0,4627.0599999999995,1557.1799999999998,2024-04-30,2024-05-21,2313.53,33.65,Repeat,590,1,1,1,111,Lost Customers,Inactive
10114,2,6.0,41344.98,21897.899999999998,2024-01-11,2025-03-20,20672.49,52.96,Repeat,287,2,1,3,213,Lost Customers,Inactive
10115,4,12.0,56918.100000000006,28266.510000000002,2024-07-08,2025-11-30,14229.53,49.66,Repeat,32,5,3,4,534,Loyal Customers,Active
10116,6,17.0,21381.41,8545.13,2024-02-16,2025-06-02,3563.57,39.97,Repeat,213,2,5,2,252,At Risk,Inactive
10117,1,1.0,1582.79,839.43,2025-05-12,2025-05-12,1582.79,53.03,One-time,234,2,1,1,211,Lost Customers,Inactive
10118,11,37.0,188602.54,89863.81,2024-06-23,2025-12-13,17145.69,47.65,Repeat,19,5,5,5,555,Champions,Active
10119,5,9.0,11023.289999999999,4983.05,2024-06-21,2025-03-27,2204.66,45.2,Repeat,280,2,4,1,241,At Risk,Inactive
10120,2,4.0,25104.34,9938.34,2025-06-16,2025-07-08,12552.17,39.59,Repeat,177,3,1,2,312,Potential Loyalists,At Risk
10121,1,2.0,9164.95,5531.13,2024-04-28,2024-04-28,9164.95,60.35,One-time,613,1,1,1,111,Lost Customers,Inactive
10122,4,10.0,30915.31,12360.94,2024-02-04,2024-12-23,7728.83,39.98,Repeat,374,1,3,2,132,At Risk,Inactive
10123,3,6.0,141256.41999999998,76601.66,2024-02-21,2024-09-29,47085.47,54.23,Repeat,459,1,2,5,125,Lost Customers,Inactive
10124,3,10.0,28924.539999999997,10497.09,2024-05-17,2025-09-30,9641.51,36.29,Repeat,93,4,2,2,422,New Customers,At Risk
10125,5,12.0,84995.56,38632.44,2024-01-08,2025-04-09,16999.11,45.45,Repeat,267,2,4,4,244,At Risk,Inactive
10126,4,15.0,43100.33,17519.03,2024-07-14,2025-11-20,10775.08,40.65,Repeat,42,5,3,3,533,Loyal Customers,Active
10127,4,14.0,71068.51,25848.7,2024-12-06,2025-11-07,17767.13,36.37,Repeat,55,4,3,4,434,Loyal Customers,Active
10128,3,12.0,39176.9,18816.46,2024-12-16,2025-12-25,13058.97,48.03,Repeat,7,5,2,3,523,New Customers,Active
10129,5,12.0,60968.03,32624.99,2024-02-17,2025-10-16,12193.61,53.51,Repeat,77,4,4,4,444,Champions,Active
10130,3,5.0,14950.96,5568.35,2024-04-03,2025-03-27,4983.65,37.24,Repeat,280,2,2,2,222,Lost Customers,Inactive
10131,2,3.0,6862.63,3222.72,2024-05-12,2025-04-05,3431.32,46.96,Repeat,271,2,1,1,211,Lost Customers,Inactive
10132,4,15.0,34577.38,16581.940000000002,2024-09-03,2025-12-22,8644.34,47.96,Repeat,10,5,3,3,533,Loyal Customers,Active
10133,1,4.0,26590.050000000003,9796.39,2024-09-09,2024-09-09,26590.05,36.84,One-time,479,1,1,2,112,Lost Customers,Inactive
10134,2,6.0,11486.52,5600.26,2024-05-11,2025-07-24,5743.26,48.76,Repeat,161,3,1,1,311,Potential Loyalists,At Risk
10135,3,7.0,106482.34,54453.66,2024-02-13,2025-11-29,35494.11,51.14,Repeat,33,5,2,5,525,New Customers,Active
10136,5,11.0,126460.58,62811.850000000006,2024-06-03,2025-07-22,25292.12,49.67,Repeat,163,3,4,5,345,Potential Loyalists,At Risk
10137,2,3.0,5365.49,2346.26,2024-05-17,2025-12-02,2682.74,43.73,Repeat,30,5,1,1,511,New Customers,Active
10138,2,3.0,11650.16,3518.28,2025-05-03,2025-11-12,5825.08,30.2,Repeat,50,4,1,1,411,New Customers,Active
10139,1,1.0,678.19,179.46,2024-10-14,2024-10-14,678.19,26.46,One-time,444,1,1,1,111,Lost Customers,Inactive
10140,1,1.0,379.39,127.97,2024-11-13,2024-11-13,379.39,33.73,One-time,414,1,1,1,111,Lost Customers,Inactive
10141,2,3.0,1661.31,777.4,2024-10-24,2025-01-23,830.66,46.79,Repeat,343,1,1,1,111,Lost Customers,Inactive
10142,5,16.0,39280.68,18826.02,2024-01-31,2025-05-16,7856.14,47.93,Repeat,230,2,4,3,243,At Risk,Inactive
10143,3,5.0,18850.350000000002,10032.32,2025-01-08,2025-03-10,6283.45,53.22,Repeat,297,2,2,2,222,Lost Customers,Inactive
10144,4,15.0,95267.48,50349.66,2024-02-16,2025-08-25,23816.87,52.85,Repeat,129,3,3,4,334,Potential Loyalists,At Risk
10145,6,12.0,33102.119999999995,12328.210000000001,2024-04-21,2025-12-11,5517.02,37.24,Repeat,21,5,5,3,553,Loyal Customers,Active
10146,5,13.0,27217.140000000003,11393.94,2024-07-25,2025-12-29,5443.43,41.86,Repeat,3,5,4,2,542,Loyal Customers,Active
10147,2,2.0,4124.81,1493.83,2024-04-07,2025-12-08,2062.41,36.22,Repeat,24,5,1,1,511,New Customers,Active
10148,2,9.0,41865.24,17099.97,2025-08-07,2025-08-24,20932.62,40.85,Repeat,130,3,1,3,313,Potential Loyalists,At Risk
10149,6,8.0,52524.45,18438.82,2024-02-28,2025-10-01,8754.07,35.11,Repeat,92,4,5,3,453,Loyal Customers,At Risk
10150,3,4.0,6674.43,3413.68,2024-08-13,2025-06-07,2224.81,51.15,Repeat,208,2,2,1,221,Lost Customers,Inactive
10151,4,10.0,42616.59,18487.45,2024-05-11,2025-12-19,10654.15,43.38,Repeat,13,5,3,3,533,Loyal Customers,Active
10152,4,10.0,113286.23,58754.67,2024-02-22,2025-12-31,28321.56,51.86,Repeat,1,5,3,5,535,Loyal Customers,Active
10153,3,7.0,23693.0,6935.88,2024-03-20,2025-03-30,7897.67,29.27,Repeat,277,2,2,2,222,Lost Customers,Inactive
10154,3,5.0,24422.34,11252.75,2025-02-28,2025-12-17,8140.78,46.08,Repeat,15,5,2,2,522,New Customers,Active
10155,3,4.0,27785.64,11621.189999999999,2025-01-03,2025-09-16,9261.88,41.82,Repeat,107,4,2,2,422,New Customers,At Risk
10156,7,24.0,154584.44,77676.18,2024-08-03,2025-11-25,22083.49,50.25,Repeat,37,5,5,5,555,Champions,Active
10157,6,15.0,321016.12,108145.12,2024-09-13,2025-12-03,53502.69,33.69,Repeat,29,5,5,5,555,Champions,Active
10158,2,8.0,55709.91,22478.460000000003,2024-12-04,2025-01-14,27854.96,40.35,Repeat,352,1,1,3,113,Lost Customers,Inactive
10159,5,16.0,86022.02,38318.810000000005,2024-05-11,2025-01-02,17204.4,44.55,Repeat,364,1,4,4,144,At Risk,Inactive
10160,4,14.0,232942.91,94336.52,2025-01-30,2025-12-20,58235.73,40.5,Repeat,12,5,3,5,535,Loyal Customers,Active
10161,5,11.0,97430.0,51867.73,2024-01-20,2025-07-17,19486.0,53.24,Repeat,168,3,4,5,345,Potential Loyalists,At Risk
10162,4,7.0,9013.66,4704.33,2024-12-17,2025-12-26,2253.42,52.19,Repeat,6,5,3,1,531,Loyal Customers,Active
10163,4,15.0,58879.44,28293.13,2024-12-11,2025-07-15,14719.86,48.05,Repeat,170,3,3,4,334,Potential Loyalists,At Risk
10164,5,13.0,112075.90000000001,51132.92,2024-02-24,2025-08-29,22415.18,45.62,Repeat,125,3,4,5,345,Potential Loyalists,At Risk
10165,2,3.0,14495.37,8383.460000000001,2024-10-02,2025-12-08,7247.68,57.84,Repeat,24,5,1,1,511,New Customers,Active
10166,5,13.0,238161.26,108527.70000000001,2024-07-19,2025-12-30,47632.25,45.57,Repeat,2,5,4,5,545,Champions,Active
10167,5,13.0,80349.94,35973.94,2024-02-29,2025-11-06,16069.99,44.77,Repeat,56,4,4,4,444,Champions,Active
10168,2,2.0,33243.37,17815.86,2025-03-15,2025-07-28,16621.69,53.59,Repeat,157,3,1,3,313,Potential Loyalists,At Risk
10169,1,2.0,2190.42,788.3900000000001,2025-10-23,2025-10-23,2190.42,35.99,One-time,70,4,1,1,411,New Customers,Active
10170,2,7.0,70324.8,29005.68,2025-08-04,2025-11-16,35162.4,41.25,Repeat,46,5,1,4,514,New Customers,Active
10171,5,9.0,21070.15,8534.039999999999,2024-01-20,2025-10-06,4214.03,40.5,Repeat,87,4,4,2,442,Loyal Customers,Active
10172,4,12.0,84081.49,43676.17999999999,2024-01-23,2025-04-23,21020.37,51.95,Repeat,253,2,3,4,234,At Risk,Inactive
10173,2,2.0,5290.1,1706.08,2024-10-22,2025-12-01,2645.05,32.25,Repeat,31,5,1,1,511,New Customers,Active
10174,6,16.0,130867.3,60426.32,2024-04-30,2025-12-23,21811.22,46.17,Repeat,9,5,5,5,555,Champions,Active
10175,3,10.0,220184.8,87181.84,2025-02-23,2025-11-16,73394.93,39.59,Repeat,46,5,2,5,525,New Customers,Active
10176,6,14.0,100319.19,45268.240000000005,2024-01-23,2025-04-10,16719.87,45.12,Repeat,266,2,5,5,255,At Risk,Inactive
10177,3,4.0,26438.65,10724.76,2024-12-05,2025-09-09,8812.88,40.56,Repeat,114,3,2,2,322,Potential Loyalists,At Risk
10178,5,10.0,40617.9,18624.719999999998,2024-11-02,2025-07-04,8123.58,45.85,Repeat,181,3,4,3,343,Potential Loyalists,Inactive
10179,5,18.0,49043.16,22283.78,2024-04-07,2025-03-16,9808.63,45.44,Repeat,291,2,4,3,243,At Risk,Inactive
10180,2,7.0,14940.6,7027.629999999999,2024-03-10,2024-04-27,7470.3,47.04,Repeat,614,1,1,2,112,Lost Customers,Inactive
10181,3,7.0,28476.98,14461.13,2024-02-29,2025-08-02,9492.33,50.78,Repeat,152,3,2,2,322,Potential Loyalists,At Risk
10182,3,12.0,40515.5,17794.35,2024-02-29,2024-08-19,13505.17,43.92,Repeat,500,1,2,3,123,Lost Customers,Inactive
10183,2,3.0,9241.61,4119.219999999999,2024-09-19,2025-03-08,4620.8,44.57,Repeat,299,2,1,1,211,Lost Customers,Inactive
10184,3,12.0,147774.42,75884.84,2024-03-15,2025-09-04,49258.14,51.35,Repeat,119,3,2,5,325,Potential Loyalists,At Risk
10185,1,2.0,114221.3,54871.18,2025-08-10,2025-08-10,114221.3,48.04,One-time,144,3,1,5,315,Potential Loyalists,At Risk
10186,6,18.0,73360.34,26884.09,2024-01-08,2025-11-27,12226.72,36.65,Repeat,35,5,5,4,554,Champions,Active
10187,1,4.0,25854.26,10792.45,2025-07-16,2025-07-16,25854.26,41.74,One-time,169,3,1,2,312,Potential Loyalists,At Risk
10188,1,1.0,882.85,219.67,2025-07-15,2025-07-15,882.85,24.88,One-time,170,3,1,1,311,Potential Loyalists,At Risk
10189,5,17.0,93661.65,34226.94,2024-04-12,2025-08-26,18732.33,36.54,Repeat,128,3,4,4,344,Potential Loyalists,At Risk
10190,4,9.0,59664.020000000004,26651.55,2024-03-21,2025-04-25,14916.0,44.67,Repeat,251,2,3,4,234,At Risk,Inactive
10191,4,9.0,122079.96999999999,59269.41,2024-01-27,2025-12-03,30519.99,48.55,Repeat,29,5,3,5,535,Loyal Customers,Active
10192,6,19.0,226790.22999999998,103710.33000000002,2024-04-11,2025-06-24,37798.37,45.73,Repeat,191,2,5,5,255,At Risk,Inactive
10193,5,11.0,38901.4,17934.73,2024-01-24,2025-11-27,7780.28,46.1,Repeat,35,5,4,3,543,Loyal Customers,Active
10194,6,12.0,10996.84,5086.03,2024-01-27,2025-08-27,1832.81,46.25,Repeat,127,3,5,1,351,Potential Loyalists,At Risk
10195,2,8.0,65097.97,21435.14,2024-08-28,2024-09-15,32548.98,32.93,Repeat,473,1,1,4,114,Lost Customers,Inactive
10196,4,6.0,15661.87,6113.780000000001,2024-04-21,2025-10-09,3915.47,39.04,Repeat,84,4,3,2,432,Loyal Customers,Active
10197,2,2.0,4585.76,1649.22,2024-11-09,2025-01-30,2292.88,35.96,Repeat,336,1,1,1,111,Lost Customers,Inactive
10198,2,8.0,101409.35999999999,43408.29,2024-09-20,2025-03-11,50704.68,42.81,Repeat,296,2,1,5,215,Lost Customers,Inactive
10199,2,2.0,8846.76,4362.09,2024-02-19,2024-08-14,4423.38,49.31,Repeat,505,1,1,1,111,Lost Customers,Inactive
10200,2,5.0,65791.08,28197.04,2024-12-19,2025-07-30,32895.54,42.86,Repeat,155,3,1,4,314,Potential Loyalists,At Risk
10201,4,12.0,37755.840000000004,18431.65,2024-02-04,2025-04-29,9438.96,48.82,Repeat,247,2,3,3,233,At Risk,Inactive
10202,3,3.0,16903.87,7335.16,2024-07-12,2025-07-31,5634.62,43.39,Repeat,154,3,2,2,322,Potential Loyalists,At Risk
