campaign_id,campaign_name,channel,month,spend,impressions,clicks,conversions
CAMP002,Festival Offers,Social,2024-11-01,157350.09,2502314,96423,5934
CAMP002,Festival Offers,Social,2024-12-01,159721.56,4748476,89167,3551
CAMP002,Festival Offers,Social,2025-01-01,35933.5,720514,21327,2003
CAMP002,Festival Offers,Social,2025-02-01,107907.27,1654882,26598,1278
CAMP002,Festival Offers,Social,2025-03-01,29002.63,583840,17056,1319
CAMP002,Festival Offers,Social,2025-04-01,89334.98,1517858,30665,3452
CAMP002,Festival Offers,Social,2025-05-01,119681.71,1620936,54657,6140
CAMP002,Festival Offers,Social,2025-06-01,101604.29,2635709,83524,9158
CAMP002,Festival Offers,Social,2025-07-01,133953.7,2274450,46775,4540
CAMP002,Festival Offers,Social,2025-08-01,159057.37,3115200,67735,4663
CAMP002,Festival Offers,Social,2025-09-01,138452.75,4049180,139949,9137
CAMP002,Festival Offers,Social,2025-10-01,94901.18,1685574,74172,6881
CAMP002,Festival Offers,Social,2025-11-01,158567.21,2919816,85363,4683
CAMP002,Festival Offers,Social,2025-12-01,80094.81,2007281,85198,9006
CAMP003,Welcome Series,Email,2024-01-01,119684.04,1975384,82887,3072
CAMP003,Welcome Series,Email,2024-02-01,37551.52,669887,13047,882
CAMP003,Welcome Series,Email,2024-03-01,92502.93,1648125,40300,4657
CAMP003,Welcome Series,Email,2024-04-01,34907.1,835490,25562,1809
CAMP003,Welcome Series,Email,2024-05-01,141689.59,1857480,51559,3485
CAMP003,Welcome Series,Email,2024-06-01,62027.7,1482893,64039,5671
CAMP003,Welcome Series,Email,2024-07-01,135897.87,1804024,29508,3207
CAMP003,Welcome Series,Email,2024-08-01,122548.22,3541712,106257,5780
CAMP003,Welcome Series,Email,2024-09-01,62825.73,1111555,29363,1063
CAMP003,Welcome Series,Email,2024-10-01,109029.5,2506634,39708,2347
CAMP003,Welcome Series,Email,2024-11-01,81985.06,2005159,82297,6194
CAMP003,Welcome Series,Email,2024-12-01,48205.2,1101347,19005,1322
CAMP003,Welcome Series,Email,2025-01-01,143121.91,3629812,64494,2163
CAMP003,Welcome Series,Email,2025-02-01,165090.87,2456877,94720,3580
CAMP003,Welcome Series,Email,2025-03-01,93109.38,1218264,39365,1559
CAMP003,Welcome Series,Email,2025-04-01,69129.51,1512770,65387,3119
CAMP003,Welcome Series,Email,2025-05-01,175569.5,4859236,143646,16277
CAMP003,Welcome Series,Email,2025-06-01,159556.46,4396083,153883,5235
CAMP003,Welcome Series,Email,2025-07-01,174518.84,3206733,48213,5143
CAMP003,Welcome Series,Email,2025-08-01,43274.6,973672,36583,3170
CAMP003,Welcome Series,Email,2025-09-01,44588.89,540485,20709,2450
CAMP003,Welcome Series,Email,2025-10-01,127658.42,1954216,43709,3515
CAMP003,Welcome Series,Email,2025-11-01,125788.84,3589345,64101,6027
CAMP003,Welcome Series,Email,2025-12-01,108916.71,1684895,45621,4511
CAMP004,Cashback Push,Affiliate,2024-01-01,66805.76,1049640,37573,2305
CAMP004,Cashback Push,Affiliate,2024-02-01,144349.88,4036209,178146,16097
CAMP004,Cashback Push,Affiliate,2024-03-01,161544.79,4169719,85071,9864
CAMP004,Cashback Push,Affiliate,2024-04-01,53339.27,969719,19512,1256
CAMP004,Cashback Push,Affiliate,2024-05-01,73595.6,1416978,39222,3457
CAMP004,Cashback Push,Affiliate,2024-06-01,31803.74,886333,16915,1218
CAMP004,Cashback Push,Affiliate,2024-07-01,67530.0,958489,39652,3285
CAMP004,Cashback Push,Affiliate,2024-08-01,169839.8,2925449,103761,5143
CAMP004,Cashback Push,Affiliate,2024-09-01,102788.83,1636381,29325,2676
CAMP004,Cashback Push,Affiliate,2024-10-01,38840.86,554724,20612,930
CAMP004,Cashback Push,Affiliate,2024-11-01,66819.04,1901736,77195,8078
CAMP004,Cashback Push,Affiliate,2024-12-01,52524.94,1559609,29815,1825
CAMP004,Cashback Push,Affiliate,2025-01-01,112535.68,1396365,29961,955
CAMP004,Cashback Push,Affiliate,2025-02-01,101529.88,1769221,70541,6431
CAMP004,Cashback Push,Affiliate,2025-03-01,169621.96,3177036,129544,10517
CAMP004,Cashback Push,Affiliate,2025-04-01,88100.32,2407639,96787,11126
CAMP004,Cashback Push,Affiliate,2025-05-01,80580.38,1684601,55596,6083
CAMP004,Cashback Push,Affiliate,2025-06-01,156755.47,3406451,97425,6115
CAMP004,Cashback Push,Affiliate,2025-07-01,32668.11,729537,30834,2073
CAMP004,Cashback Push,Affiliate,2025-08-01,95089.61,2434013,40943,2685
CAMP004,Cashback Push,Affiliate,2025-09-01,126031.89,2908984,43921,4679
CAMP004,Cashback Push,Affiliate,2025-10-01,55025.23,813825,26176,1256
CAMP004,Cashback Push,Affiliate,2025-11-01,56379.43,1680847,73156,3895
CAMP004,Cashback Push,Affiliate,2025-12-01,43823.7,1225211,45362,4473
CAMP005,Search Brand,Paid Search,2024-01-01,131320.05,3499516,97440,8101
CAMP005,Search Brand,Paid Search,2024-02-01,159730.25,2314111,72547,4536
CAMP005,Search Brand,Paid Search,2024-03-01,91382.04,1589701,65550,4927
CAMP005,Search Brand,Paid Search,2024-04-01,41880.59,1140473,43223,3670
CAMP005,Search Brand,Paid Search,2024-05-01,30118.1,654526,16035,855
CAMP005,Search Brand,Paid Search,2024-06-01,29221.38,625386,14412,1066
CAMP005,Search Brand,Paid Search,2024-07-01,63134.64,1821040,32566,1081
CAMP005,Search Brand,Paid Search,2024-08-01,160154.21,2564015,92517,6306
CAMP005,Search Brand,Paid Search,2024-09-01,153077.79,2808611,82041,7745
CAMP005,Search Brand,Paid Search,2024-10-01,60775.4,1762369,28977,3293
CAMP005,Search Brand,Paid Search,2024-11-01,147215.88,4006543,68597,6172
CAMP005,Search Brand,Paid Search,2024-12-01,52057.53,1303794,49909,1870
CAMP005,Search Brand,Paid Search,2025-01-01,115338.21,2159642,86149,2484
CAMP005,Search Brand,Paid Search,2025-02-01,25453.93,700826,29709,3050
CAMP005,Search Brand,Paid Search,2025-03-01,151445.11,2543495,65584,5682
CAMP005,Search Brand,Paid Search,2025-04-01,116255.89,2334639,83918,7205
CAMP005,Search Brand,Paid Search,2025-05-01,70364.75,1311259,45434,5275
CAMP005,Search Brand,Paid Search,2025-06-01,92340.96,2379636,100184,10151
CAMP005,Search Brand,Paid Search,2025-07-01,94828.98,2140150,55230,1884
CAMP005,Search Brand,Paid Search,2025-08-01,159576.56,2223665,73703,3363
CAMP005,Search Brand,Paid Search,2025-09-01,164954.24,2016327,64361,3582
CAMP005,Search Brand,Paid Search,2025-10-01,176639.84,4353640,90922,4921
CAMP005,Search Brand,Paid Search,2025-11-01,101314.26,1627407,61194,2599
CAMP005,Search Brand,Paid Search,2025-12-01,157544.09,2690610,88612,2263
CAMP006,Reactivation,Email,2024-01-01,53208.69,802059,26886,1133
CAMP006,Reactivation,Email,2024-02-01,101567.71,2222890,90272,3001
CAMP006,Reactivation,Email,2024-03-01,85950.61,2307034,82176,9103
CAMP006,Reactivation,Email,2024-04-01,47212.57,1034586,21622,2164
CAMP006,Reactivation,Email,2024-05-01,63258.2,1151391,32735,3045
CAMP006,Reactivation,Email,2024-06-01,74904.19,1430919,28511,3367
CAMP006,Reactivation,Email,2024-07-01,63899.41,1824535,55638,6018
CAMP006,Reactivation,Email,2024-08-01,133285.97,1911870,84159,3501
CAMP006,Reactivation,Email,2024-09-01,108035.81,3216370,115735,10334
CAMP006,Reactivation,Email,2024-10-01,47838.68,1163727,40130,2887
CAMP006,Reactivation,Email,2024-11-01,131228.24,2832268,87577,10173
CAMP006,Reactivation,Email,2024-12-01,29184.24,373585,6339,316
CAMP006,Reactivation,Email,2025-01-01,162403.33,3443044,96219,9363
CAMP006,Reactivation,Email,2025-02-01,62884.56,1508641,33249,2101
CAMP006,Reactivation,Email,2025-03-01,127496.82,2009487,49515,3626
CAMP006,Reactivation,Email,2025-04-01,56979.05,751918,33805,1484
CAMP006,Reactivation,Email,2025-05-01,117310.52,2326754,58483,3135
CAMP006,Reactivation,Email,2025-06-01,53462.64,875617,20946,932
CAMP006,Reactivation,Email,2025-07-01,177156.58,2674539,86144,8128
CAMP006,Reactivation,Email,2025-08-01,136888.24,1642913,64019,6660
CAMP006,Reactivation,Email,2025-09-01,132954.35,2199364,50189,4876
CAMP006,Reactivation,Email,2025-10-01,66244.61,1232626,41838,4636
CAMP006,Reactivation,Email,2025-11-01,109890.53,2082804,88625,10407
CAMP006,Reactivation,Email,2025-12-01,134546.51,3370610,106840,9873
CAMP007,Festive Retargeting,Social,2024-01-01,55593.86,1224142,41413,3734
CAMP007,Festive Retargeting,Social,2024-02-01,91312.45,2099380,60569,5569
CAMP007,Festive Retargeting,Social,2024-03-01,139083.21,1814284,77241,7059
CAMP007,Festive Retargeting,Social,2024-04-01,121148.73,2981698,91005,8157
CAMP007,Festive Retargeting,Social,2024-05-01,159572.54,4227657,145825,9559
CAMP007,Festive Retargeting,Social,2024-06-01,33757.99,890630,39269,3999
CAMP007,Festive Retargeting,Social,2024-07-01,85139.99,2152133,53840,5137
CAMP007,Festive Retargeting,Social,2024-08-01,51486.44,902855,27022,2752
CAMP007,Festive Retargeting,Social,2024-09-01,79270.79,1407403,51239,3924
CAMP007,Festive Retargeting,Social,2024-10-01,70975.46,864146,21630,2167
CAMP007,Festive Retargeting,Social,2024-11-01,152031.92,2413250,107184,12088
CAMP007,Festive Retargeting,Social,2024-12-01,170066.54,5000932,174185,9935
CAMP007,Festive Retargeting,Social,2025-01-01,53801.16,1453742,57766,3066
CAMP007,Festive Retargeting,Social,2025-02-01,129693.55,2602369,114241,5450
CAMP007,Festive Retargeting,Social,2025-03-01,114937.44,2977546,64192,3873
CAMP007,Festive Retargeting,Social,2025-04-01,55304.39,1593548,45689,3569
CAMP007,Festive Retargeting,Social,2025-05-01,140552.03,2663621,55808,5239
CAMP007,Festive Retargeting,Social,2025-06-01,117394.24,2066132,64622,6423
CAMP007,Festive Retargeting,Social,2025-07-01,64641.17,1035806,18241,995
CAMP007,Festive Retargeting,Social,2025-08-01,51777.72,938179,38267,1133
CAMP007,Festive Retargeting,Social,2025-09-01,146780.98,2816626,47612,2469
CAMP007,Festive Retargeting,Social,2025-10-01,156188.84,3166879,98802,9237
CAMP007,Festive Retargeting,Social,2025-11-01,110444.71,2797091,74682,3022
CAMP007,Festive Retargeting,Social,2025-12-01,139739.93,3054071,119524,12150
