order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_amount,cost_amount,customer_id,order_date,sales_channel,order_status,product_name,category,subcategory,revenue,profit,profit_margin,revenue_difference
900040,500025,20013,1.0,2355.66,1097.0,25,2355.66,588.92,1766.74,1097.0,14578,2025-06-17,Social,Delivered,Sneakers 20013,Fashion,Sneakers,1766.74,669.74,37.91,0.0
900041,500025,20031,3.0,4512.81,1851.07,5,13538.43,676.92,12861.51,5553.21,14578,2025-06-17,Social,Delivered,Face Wash 20031,Beauty,Face Wash,12861.51,7308.3,56.82,0.0
900042,500025,20172,1.0,534.01,205.89,10,534.01,53.4,480.61,205.89,14578,2025-06-17,Social,Delivered,Dumbbells 20172,Sports,Dumbbells,480.61,274.72,57.16,0.0
900043,500025,20077,1.0,2967.86,1248.94,20,2967.86,593.57,2374.29,1248.94,14578,2025-06-17,Social,Delivered,Cushion 20077,Home,Cushion,2374.29,1125.35,47.4,0.0
900044,500026,20088,1.0,1969.68,1132.48,20,1969.68,393.94,1575.74,1132.48,12550,2025-03-18,Unknown,Delivered,T-Shirt 20088,Fashion,T-Shirt,1575.74,443.26,28.13,0.0
900045,500027,20156,1.0,1052.52,389.44,10,1052.52,105.25,947.27,389.44,14338,2024-11-28,Social,Delivered,Keyboard 20156,Electronics,Keyboard,947.27,557.83,58.89,0.0
900046,500028,20063,1.0,48801.99,20977.47,10,48801.99,4880.2,43921.79,20977.47,11086,2024-12-02,Paid Search,Delivered,Monitor 20063,Electronics,Monitor,43921.79,22944.32,52.24,0.0
900047,500028,20008,1.0,7931.3,3163.37,0,7931.3,0.0,7931.3,3163.37,11086,2024-12-02,Paid Search,Delivered,Storage Box 20008,Home,Storage Box,7931.3,4767.93,60.12,0.0
900048,500028,20074,2.0,472.42,276.25,15,944.84,141.73,803.11,552.5,11086,2024-12-02,Paid Search,Delivered,Perfume 20074,Beauty,Perfume,803.11,250.61,31.2,0.0
900049,500028,20152,2.0,1133.67,691.09,0,2267.34,0.0,2267.34,1382.18,11086,2024-12-02,Paid Search,Delivered,Bedsheet 20152,Home,Bedsheet,2267.34,885.16,39.04,0.0
900050,500028,20224,2.0,6470.02,3499.95,5,12940.04,647.0,12293.04,6999.9,11086,2024-12-02,Paid Search,Delivered,Chair 20224,Home,Chair,12293.04,5293.14,43.06,0.0
900051,500029,20213,1.0,24406.41,13831.92,15,24406.41,3660.96,20745.45,13831.92,11552,2024-07-12,Affiliate,Delivered,Keyboard 20213,Electronics,Keyboard,20745.45,6913.53,33.33,0.0
900052,500029,20216,1.0,28204.64,12271.06,5,28204.64,1410.23,26794.41,12271.06,11552,2024-07-12,Affiliate,Delivered,Keyboard 20216,Electronics,Keyboard,26794.41,14523.35,54.2,0.0
900053,500029,20007,1.0,12616.36,6321.06,15,12616.36,1892.45,10723.91,6321.06,11552,2024-07-12,Affiliate,Delivered,Running Shoes 20007,Sports,Running Shoes,10723.91,4402.85,41.06,0.0
900054,500030,20127,1.0,483.68,170.85,20,483.68,96.74,386.94,170.85,13102,2024-11-24,Organic,Delivered,Cushion 20127,Home,Cushion,386.94,216.09,55.85,0.0
900055,500031,20124,2.0,13395.78,5604.63,10,26791.56,2679.16,24112.4,11209.26,12893,2025-03-18,Organic,Delivered,Yoga Mat 20124,Sports,Yoga Mat,24112.4,12903.14,53.51,0.0
900056,500032,20058,1.0,825.82,425.37,5,825.82,41.29,784.53,425.37,12013,2025-06-07,Affiliate,Delivered,Lamp 20058,Home,Lamp,784.53,359.16,45.78,0.0
900057,500032,20191,1.0,16000.09,6354.85,0,16000.09,0.0,16000.09,6354.85,12013,2025-06-07,Affiliate,Delivered,Headphones 20191,Electronics,Headphones,16000.09,9645.24,60.28,0.0
900058,500033,20222,1.0,37415.28,22609.43,5,37415.28,1870.76,35544.52,22609.43,11105,2025-07-19,Organic,Delivered,Headphones 20222,Electronics,Headphones,35544.52,12935.09,36.39,0.0
900059,500033,20054,1.0,1142.93,410.77,15,1142.93,171.44,971.49,410.77,11105,2025-07-19,Organic,Delivered,Running Shoes 20054,Sports,Running Shoes,971.49,560.72,57.72,0.0
900060,500034,20061,1.0,1419.98,624.9,15,1419.98,213.0,1206.98,624.9,11141,2024-10-02,Organic,Delivered,Face Wash 20061,Beauty,Face Wash,1206.98,582.08,48.23,0.0
900061,500034,20084,3.0,1515.77,816.64,10,4547.31,454.73,4092.58,2449.92,11141,2024-10-02,Organic,Delivered,Keyboard 20084,Electronics,Keyboard,4092.58,1642.66,40.14,0.0
900062,500034,20122,2.0,14754.48,8539.23,20,29508.96,5901.79,23607.17,17078.46,11141,2024-10-02,Organic,Delivered,Laptop 20122,Electronics,Laptop,23607.17,6528.71,27.66,0.0
900063,500034,20219,1.0,2374.82,1493.38,20,2374.82,474.96,1899.86,1493.38,11141,2024-10-02,Organic,Delivered,Face Wash 20219,Beauty,Face Wash,1899.86,406.48,21.4,0.0
900064,500035,20122,1.0,14754.48,8539.23,10,14754.48,1475.45,13279.03,8539.23,13635,2025-06-19,Paid Search,Delivered,Laptop 20122,Electronics,Laptop,13279.03,4739.8,35.69,0.0
900065,500035,20197,4.0,2872.53,1123.32,15,11490.12,1723.52,9766.6,4493.28,13635,2025-06-19,Paid Search,Delivered,Smartphone 20197,Electronics,Smartphone,9766.6,5273.32,53.99,0.0
900066,500035,20152,1.0,1133.67,691.09,10,1133.67,113.37,1020.3,691.09,13635,2025-06-19,Paid Search,Delivered,Bedsheet 20152,Home,Bedsheet,1020.3,329.21,32.27,0.0
900067,500036,20096,1.0,1259.28,785.79,25,1259.28,314.82,944.46,785.79,10106,2024-11-15,Paid Search,Delivered,Perfume 20096,Beauty,Perfume,944.46,158.67,16.8,0.0
900068,500036,20161,1.0,12104.43,4875.34,5,12104.43,605.22,11499.21,4875.34,10106,2024-11-15,Paid Search,Delivered,Headphones 20161,Electronics,Headphones,11499.21,6623.87,57.6,0.0
900069,500037,20019,2.0,1058.34,495.5,20,2116.68,423.34,1693.34,991.0,10598,2024-09-18,Social,Delivered,Shampoo 20019,Beauty,Shampoo,1693.34,702.34,41.48,0.0
900070,500037,20172,1.0,534.01,205.89,10,534.01,53.4,480.61,205.89,10598,2024-09-18,Social,Delivered,Dumbbells 20172,Sports,Dumbbells,480.61,274.72,57.16,0.0
900071,500038,20051,1.0,695.77,441.02,15,695.77,104.37,591.4,441.02,14627,2024-04-29,Affiliate,Delivered,Serum 20051,Beauty,Serum,591.4,150.38,25.43,0.0
900072,500038,20189,1.0,497.27,254.23,20,497.27,99.45,397.82,254.23,14627,2024-04-29,Affiliate,Delivered,Shampoo 20189,Beauty,Shampoo,397.82,143.59,36.09,0.0
900073,500038,20104,2.0,810.35,376.04,0,1620.7,0.0,1620.7,752.08,14627,2024-04-29,Affiliate,Delivered,Laptop 20104,Electronics,Laptop,1620.7,868.62,53.6,0.0
900074,500038,20077,2.0,2967.86,1248.94,20,5935.72,1187.14,4748.58,2497.88,14627,2024-04-29,Affiliate,Delivered,Cushion 20077,Home,Cushion,4748.58,2250.7,47.4,0.0
900075,500038,20057,1.0,1299.09,681.94,0,1299.09,0.0,1299.09,681.94,14627,2024-04-29,Affiliate,Delivered,Sneakers 20057,Fashion,Sneakers,1299.09,617.15,47.51,0.0
900076,500039,20210,1.0,39951.74,24370.91,15,39951.74,5992.76,33958.98,24370.91,14896,2024-07-13,Social,Delivered,Smartphone 20210,Electronics,Smartphone,33958.98,9588.07,28.23,0.0
900077,500039,20094,1.0,1174.21,661.48,25,1174.21,293.55,880.66,661.48,14896,2024-07-13,Social,Delivered,Smartphone 20094,Electronics,Smartphone,880.66,219.18,24.89,0.0
900078,500040,20151,1.0,31724.89,20508.74,25,31724.89,7931.22,23793.67,20508.74,10395,2025-05-11,Email,Delivered,Monitor 20151,Electronics,Monitor,23793.67,3284.93,13.81,0.0
900079,500041,20192,1.0,1251.49,516.17,0,1251.49,0.0,1251.49,516.17,10712,2024-06-07,Organic,Delivered,Sneakers 20192,Fashion,Sneakers,1251.49,735.32,58.76,0.0
900080,500041,20246,1.0,1642.3,588.68,15,1642.3,246.34,1395.96,588.68,10712,2024-06-07,Organic,Delivered,Running Shoes 20246,Sports,Running Shoes,1395.96,807.28,57.83,0.0
900081,500041,20106,1.0,5100.65,2361.04,0,5100.65,0.0,5100.65,2361.04,10712,2024-06-07,Organic,Delivered,Sneakers 20106,Fashion,Sneakers,5100.65,2739.61,53.71,0.0
900082,500042,20139,1.0,4147.19,1778.79,10,4147.19,414.72,3732.47,1778.79,11647,2024-02-26,Paid Search,Delivered,Badminton Racket 20139,Sports,Badminton Racket,3732.47,1953.68,52.34,0.0
900083,500042,20143,1.0,10016.19,6270.24,10,10016.19,1001.62,9014.57,6270.24,11647,2024-02-26,Paid Search,Delivered,Monitor 20143,Electronics,Monitor,9014.57,2744.33,30.44,0.0
900084,500043,20204,1.0,1164.22,744.86,15,1164.22,174.63,989.59,744.86,12930,2024-07-17,Direct,Delivered,Jacket 20204,Fashion,Jacket,989.59,244.73,24.73,0.0
900085,500043,20087,1.0,843.69,494.1,10,843.69,84.37,759.32,494.1,12930,2024-07-17,Direct,Delivered,Face Wash 20087,Beauty,Face Wash,759.32,265.22,34.93,0.0
900086,500043,20026,1.0,5768.56,2502.63,10,5768.56,576.86,5191.7,2502.63,12930,2024-07-17,Direct,Delivered,Chair 20026,Home,Chair,5191.7,2689.07,51.8,0.0
900087,500044,20149,1.0,1689.82,893.0,0,1689.82,0.0,1689.82,893.0,10953,2025-12-25,Paid Search,Delivered,Serum 20149,Beauty,Serum,1689.82,796.82,47.15,0.0
900088,500044,20010,1.0,1461.44,861.46,5,1461.44,73.07,1388.37,861.46,10953,2025-12-25,Paid Search,Delivered,Jeans 20010,Fashion,Jeans,1388.37,526.91,37.95,0.0
900089,500045,20132,1.0,1481.71,958.89,20,1481.71,296.34,1185.37,958.89,14912,2024-04-19,Organic,Delivered,Backpack 20132,Fashion,Backpack,1185.37,226.48,19.11,0.0
900090,500046,20048,2.0,7860.04,3821.49,0,15720.08,0.0,15720.08,7642.98,12471,2024-04-15,Direct,Delivered,Lamp 20048,Home,Lamp,15720.08,8077.1,51.38,0.0
900091,500046,20035,2.0,1731.82,1113.51,10,3463.64,346.36,3117.28,2227.02,12471,2024-04-15,Direct,Delivered,Lamp 20035,Home,Lamp,3117.28,890.26,28.56,0.0
900092,500047,20062,2.0,305.94,136.42,5,611.88,30.59,581.29,272.84,12686,2024-10-21,Paid Search,Delivered,Serum 20062,Beauty,Serum,581.29,308.45,53.06,0.0
900093,500047,20028,1.0,2140.06,1062.98,15,2140.06,321.01,1819.05,1062.98,12686,2024-10-21,Paid Search,Delivered,T-Shirt 20028,Fashion,T-Shirt,1819.05,756.07,41.56,0.0
900094,500047,20213,1.0,24406.41,13831.92,15,24406.41,3660.96,20745.45,13831.92,12686,2024-10-21,Paid Search,Delivered,Keyboard 20213,Electronics,Keyboard,20745.45,6913.53,33.33,0.0
900095,500047,20087,1.0,843.69,494.1,0,843.69,0.0,843.69,494.1,12686,2024-10-21,Paid Search,Delivered,Face Wash 20087,Beauty,Face Wash,843.69,349.59,41.44,0.0
900096,500048,20066,1.0,37192.6,14356.0,20,37192.6,7438.52,29754.08,14356.0,10975,2024-10-06,Social,Delivered,Smartphone 20066,Electronics,Smartphone,29754.08,15398.08,51.75,0.0
900097,500049,20146,2.0,3765.71,2293.07,0,7531.42,0.0,7531.42,4586.14,11539,2025-11-03,Organic,Delivered,Lamp 20146,Home,Lamp,7531.42,2945.28,39.11,0.0
900098,500050,20033,1.0,1277.1,532.22,25,1277.1,319.27,957.83,532.22,13682,2024-06-22,Email,Delivered,Perfume 20033,Beauty,Perfume,957.83,425.61,44.43,-0.01
900099,500051,20143,2.0,10016.19,6270.24,25,20032.38,5008.1,15024.28,12540.48,13164,2024-11-01,Organic,Delivered,Monitor 20143,Electronics,Monitor,15024.28,2483.8,16.53,0.0
900100,500052,20023,1.0,1420.83,679.29,0,1420.83,0.0,1420.83,679.29,11125,2024-07-31,Social,Delivered,Lamp 20023,Home,Lamp,1420.83,741.54,52.19,0.0
900101,500052,20013,4.0,2355.66,1097.0,25,9422.64,2355.66,7066.98,4388.0,11125,2024-07-31,Social,Delivered,Sneakers 20013,Fashion,Sneakers,7066.98,2678.98,37.91,0.0
900102,500053,20027,1.0,265.01,170.54,0,265.01,0.0,265.01,170.54,12208,2024-07-01,Affiliate,Delivered,Serum 20027,Beauty,Serum,265.01,94.47,35.65,0.0
900103,500054,20158,2.0,1755.56,899.9,10,3511.12,351.11,3160.01,1799.8,10928,2024-08-23,Email,Delivered,Shampoo 20158,Beauty,Shampoo,3160.01,1360.21,43.04,0.0
900104,500054,20165,1.0,3173.03,1708.63,15,3173.03,475.95,2697.08,1708.63,10928,2024-08-23,Email,Delivered,Dumbbells 20165,Sports,Dumbbells,2697.08,988.45,36.65,0.0
900105,500054,20030,1.0,2172.88,1071.51,0,2172.88,0.0,2172.88,1071.51,10928,2024-08-23,Email,Delivered,Perfume 20030,Beauty,Perfume,2172.88,1101.37,50.69,0.0
900106,500054,20093,2.0,4388.2,2379.34,10,8776.4,877.64,7898.76,4758.68,10928,2024-08-23,Email,Delivered,Bedsheet 20093,Home,Bedsheet,7898.76,3140.08,39.75,0.0
900107,500054,20211,1.0,507.3,185.45,15,507.3,76.1,431.2,185.45,10928,2024-08-23,Email,Delivered,Cushion 20211,Home,Cushion,431.2,245.75,56.99,0.0
900108,500055,20048,1.0,7860.04,3821.49,0,7860.04,0.0,7860.04,3821.49,12038,2024-07-06,Organic,Delivered,Lamp 20048,Home,Lamp,7860.04,4038.55,51.38,0.0
900109,500056,20037,1.0,1734.87,900.11,10,1734.87,173.49,1561.38,900.11,11085,2025-06-09,Organic,Delivered,Sneakers 20037,Fashion,Sneakers,1561.38,661.27,42.35,0.0
900110,500057,20009,1.0,1160.15,521.78,15,1160.15,174.02,986.13,521.78,14899,2025-07-31,Direct,Delivered,Moisturizer 20009,Beauty,Moisturizer,986.13,464.35,47.09,0.0
900111,500058,20061,2.0,1419.98,624.9,5,2839.96,142.0,2697.96,1249.8,11488,2024-05-09,Direct,Delivered,Face Wash 20061,Beauty,Face Wash,2697.96,1448.16,53.68,0.0
900112,500058,20237,1.0,1862.11,743.36,5,1862.11,93.11,1769.0,743.36,11488,2024-05-09,Direct,Delivered,Face Wash 20237,Beauty,Face Wash,1769.0,1025.64,57.98,0.0
900113,500059,20197,1.0,2872.53,1123.32,0,2872.53,0.0,2872.53,1123.32,12370,2024-12-28,Organic,Delivered,Smartphone 20197,Electronics,Smartphone,2872.53,1749.21,60.89,0.0
900114,500059,20036,1.0,8410.09,4511.4,10,8410.09,841.01,7569.08,4511.4,12370,2024-12-28,Organic,Delivered,Mouse 20036,Electronics,Mouse,7569.08,3057.68,40.4,0.0
900115,500059,20232,1.0,338.08,119.67,5,338.08,16.9,321.18,119.67,12370,2024-12-28,Organic,Delivered,Perfume 20232,Beauty,Perfume,321.18,201.51,62.74,0.0
900116,500060,20136,4.0,8336.97,3996.04,5,33347.88,1667.39,31680.49,15984.16,13210,2024-07-11,Paid Search,Delivered,Cookware 20136,Home,Cookware,31680.49,15696.33,49.55,0.0
900117,500060,20234,1.0,616.51,221.5,10,616.51,61.65,554.86,221.5,13210,2024-07-11,Paid Search,Delivered,Badminton Racket 20234,Sports,Badminton Racket,554.86,333.36,60.08,0.0
900118,500061,20134,1.0,4055.28,2160.08,15,4055.28,608.29,3446.99,2160.08,10206,2025-09-26,Email,Delivered,Jeans 20134,Fashion,Jeans,3446.99,1286.91,37.33,0.0
900119,500061,20184,2.0,3782.1,2411.97,15,7564.2,1134.63,6429.57,4823.94,10206,2025-09-26,Email,Delivered,Cushion 20184,Home,Cushion,6429.57,1605.63,24.97,0.0
900120,500061,20103,1.0,994.09,508.3,20,994.09,198.82,795.27,508.3,10206,2025-09-26,Email,Delivered,Cookware 20103,Home,Cookware,795.27,286.97,36.08,0.0
900121,500061,20006,2.0,66361.9,40574.05,5,132723.8,6636.19,126087.61,81148.1,10206,2025-09-26,Email,Delivered,Monitor 20006,Electronics,Monitor,126087.61,44939.51,35.64,0.0
900122,500061,20156,1.0,1052.52,389.44,0,1052.52,0.0,1052.52,389.44,10206,2025-09-26,Email,Delivered,Keyboard 20156,Electronics,Keyboard,1052.52,663.08,63.0,0.0
900123,500062,20030,1.0,2172.88,1071.51,15,2172.88,325.93,1846.95,1071.51,11049,2024-03-14,Direct,Delivered,Perfume 20030,Beauty,Perfume,1846.95,775.44,41.98,0.0
900124,500063,20087,3.0,843.69,494.1,15,2531.07,379.66,2151.41,1482.3,14945,2024-10-26,Direct,Delivered,Face Wash 20087,Beauty,Face Wash,2151.41,669.11,31.1,0.0
900125,500064,20011,1.0,5804.22,2185.11,15,5804.22,870.63,4933.59,2185.11,13485,2024-08-30,Email,Delivered,Football 20011,Sports,Football,4933.59,2748.48,55.71,0.0
900126,500064,20031,1.0,4512.81,1851.07,25,4512.81,1128.2,3384.61,1851.07,13485,2024-08-30,Email,Delivered,Face Wash 20031,Beauty,Face Wash,3384.61,1533.54,45.31,0.0
900127,500064,20052,1.0,762.46,360.49,10,762.46,76.25,686.21,360.49,13485,2024-08-30,Email,Delivered,Chair 20052,Home,Chair,686.21,325.72,47.47,0.0
900128,500064,20075,1.0,3455.22,1702.44,15,3455.22,518.28,2936.94,1702.44,13485,2024-08-30,Email,Delivered,Moisturizer 20075,Beauty,Moisturizer,2936.94,1234.5,42.03,0.0
900129,500065,20240,1.0,5892.88,2880.72,5,5892.88,294.64,5598.24,2880.72,11210,2024-09-22,Organic,Delivered,Dress 20240,Fashion,Dress,5598.24,2717.52,48.54,0.0
900130,500065,20245,2.0,2814.05,1526.29,0,5628.1,0.0,5628.1,3052.58,11210,2024-09-22,Organic,Delivered,Jacket 20245,Fashion,Jacket,5628.1,2575.52,45.76,0.0
900131,500066,20098,1.0,3753.6,2182.25,0,3753.6,0.0,3753.6,2182.25,12151,2025-11-19,Affiliate,Delivered,Cookware 20098,Home,Cookware,3753.6,1571.35,41.86,0.0
900132,500066,20172,1.0,534.01,205.89,10,534.01,53.4,480.61,205.89,12151,2025-11-19,Affiliate,Delivered,Dumbbells 20172,Sports,Dumbbells,480.61,274.72,57.16,0.0
900133,500067,20239,1.0,29037.02,11401.1,10,29037.02,2903.7,26133.32,11401.1,14288,2025-01-30,Direct,Delivered,Mouse 20239,Electronics,Mouse,26133.32,14732.22,56.37,0.0
900134,500067,20079,1.0,1977.23,932.71,15,1977.23,296.58,1680.65,932.71,14288,2025-01-30,Direct,Delivered,Monitor 20079,Electronics,Monitor,1680.65,747.94,44.5,0.0
900135,500068,20026,4.0,5768.56,2502.63,5,23074.24,1153.71,21920.53,10010.52,10986,2024-10-04,Paid Search,Delivered,Chair 20026,Home,Chair,21920.53,11910.01,54.33,0.0
900136,500069,20040,1.0,1405.02,606.34,10,1405.02,140.5,1264.52,606.34,11495,2025-08-13,Social,Delivered,Running Shoes 20040,Sports,Running Shoes,1264.52,658.18,52.05,0.0
900137,500070,20139,1.0,4147.19,1778.79,15,4147.19,622.08,3525.11,1778.79,11201,2025-07-22,Organic,Delivered,Badminton Racket 20139,Sports,Badminton Racket,3525.11,1746.32,49.54,0.0
900138,500071,20162,2.0,10460.54,5750.64,0,20921.08,0.0,20921.08,11501.28,13325,2024-04-15,Paid Search,Delivered,Mouse 20162,Electronics,Mouse,20921.08,9419.8,45.03,0.0
900139,500072,20006,1.0,66361.9,40574.05,10,66361.9,6636.19,59725.71,40574.05,12637,2024-12-03,Direct,Delivered,Monitor 20006,Electronics,Monitor,59725.71,19151.66,32.07,0.0
900140,500073,20091,1.0,2708.48,1134.09,20,2708.48,541.7,2166.78,1134.09,12504,2024-10-28,Organic,Delivered,Dress 20091,Fashion,Dress,2166.78,1032.69,47.66,0.0
