order_id,payment_id,payment_method,payment_amount,payment_status
500054,700054,Debit Card,16359.93,Pending
500055,700055,UPI,7860.04,Paid
500056,700056,UPI,1561.38,Paid
500057,700057,Credit Card,986.13,Paid
500058,700058,COD,4466.96,Paid
500059,700059,COD,10762.79,Paid
500060,700060,Net Banking,32235.35,Paid
500061,700061,UPI,137811.96,Paid
500062,700062,Net Banking,1846.95,Paid
500063,700063,Wallet,2151.41,Paid
500064,700064,Debit Card,11941.35,Paid
500065,700065,Credit Card,11226.34,Paid
500066,700066,COD,4234.21,Paid
500067,700067,Debit Card,27813.97,Paid
500068,700068,Credit Card,21920.53,Paid
500069,700069,UPI,1264.52,Paid
500070,700070,Debit Card,3525.11,Paid
500071,700071,Net Banking,20921.08,Paid
500072,700072,Credit Card,59725.71,Paid
500073,700073,COD,9633.82,Paid
500074,700074,Credit Card,29358.16,Paid
500075,700075,UPI,99513.06,Paid
500076,700076,Debit Card,639.3,Paid
500077,700077,UPI,71947.69,Paid
500078,700078,COD,4812.87,Paid
500079,700079,COD,173399.84,Paid
500080,700080,Credit Card,7735.98,Paid
500081,700081,Wallet,2374.82,Paid
500082,700082,UPI,257936.55,Paid
500083,700083,UPI,5056.73,Paid
500084,700084,UPI,586.18,Paid
500085,700085,Credit Card,3570.7,Paid
500086,700086,Credit Card,7362.84,Paid
500087,700087,Credit Card,35956.57,Paid
500088,700088,UPI,4512.81,Paid
500089,700089,UPI,2943.73,Paid
500090,700090,UPI,12573.4,Paid
500091,700091,Wallet,4590.59,Paid
500092,700092,Credit Card,558.34,Paid
500093,700093,UPI,48399.17,Paid
500094,700094,Credit Card,23808.61,Paid
500095,700095,UPI,51651.73,Pending
500096,700096,Credit Card,137271.78,Paid
500097,700097,COD,56517.5,Paid
500098,700098,Debit Card,37033.97,Paid
500099,700099,Credit Card,1475.73,Paid
500100,700100,Credit Card,11013.42,Paid
500101,700101,Wallet,4114.16,Paid
500102,700102,COD,5237.17,Paid
500103,700103,COD,5225.64,Paid
500104,700104,UPI,2690.66,Paid
500105,700105,COD,2231.0,Paid
500106,700106,Net Banking,7647.53,Paid
500107,700107,UPI,2304.7,Paid
500108,700108,Credit Card,8681.26,Paid
500109,700109,Credit Card,8780.34,Paid
500110,700110,Debit Card,9949.34,Paid
500111,700111,Wallet,10156.85,Paid
500112,700112,Net Banking,3943.51,Paid
500113,700113,UPI,2701.38,Paid
500114,700114,Credit Card,37008.03,Paid
500115,700115,UPI,24000.14,Pending
500116,700116,Credit Card,5851.29,Paid
500117,700117,Net Banking,7999.35,Paid
500118,700118,COD,7772.35,Paid
500119,700119,Credit Card,76115.43,Paid
500120,700120,COD,4850.41,Paid
500121,700121,UPI,1553.78,Paid
500122,700122,Credit Card,26794.41,Paid
500123,700123,UPI,2108.57,Paid
500124,700124,UPI,1104.23,Paid
500125,700125,UPI,3639.74,Paid
500126,700126,UPI,13255.09,Paid
500127,700127,Net Banking,11306.25,Paid
500128,700128,UPI,7499.51,Paid
500129,700129,Credit Card,48699.61,Paid
500130,700130,Debit Card,2380.24,Paid
500131,700131,UPI,37712.97,Paid
500132,700132,UPI,4783.52,Paid
500133,700133,Credit Card,754.24,Paid
500134,700134,UPI,3301.65,Paid
500135,700135,UPI,2025.8,Paid
500136,700136,Wallet,2697.08,Paid
500137,700137,Wallet,39420.99,Paid
500138,700138,UPI,9215.78,Paid
500139,700139,Debit Card,529.34,Paid
500140,700140,UPI,1391.54,Paid
500141,700141,Wallet,9816.39,Failed
500142,700142,Credit Card,648.09,Paid
500143,700143,UPI,13833.74,Paid
500144,700144,Debit Card,10783.59,Paid
500145,700145,COD,43910.41,Paid
500146,700146,COD,1169.18,Paid
500147,700147,UPI,123607.85,Paid
500148,700148,UPI,1170.88,Paid
500149,700149,Debit Card,1056.79,Paid
500150,700150,UPI,7671.78,Paid
500151,700151,UPI,11298.09,Paid
500152,700152,UPI,1707.93,Paid
500153,700153,COD,507.3,Paid
500154,700154,Credit Card,2237.88,Paid
500155,700155,Credit Card,130772.58,Paid
500156,700156,Net Banking,25128.54,Paid
500157,700157,COD,1268.1,Paid
500158,700158,Wallet,13600.08,Paid
500159,700159,COD,14899.93,Paid
500160,700160,Debit Card,62649.22,Paid
500161,700161,Net Banking,32523.94,Paid
500162,700162,Credit Card,10009.33,Paid
500163,700163,Net Banking,63548.56,Paid
500164,700164,Net Banking,4701.73,Paid
500165,700165,UPI,8990.81,Paid
500166,700166,UPI,25536.43,Paid
500167,700167,UPI,5342.15,Paid
500168,700168,COD,3424.46,Failed
500169,700169,Debit Card,5804.22,Paid
500170,700170,COD,2986.82,Paid
500171,700171,COD,12706.92,Paid
500172,700172,Debit Card,4525.16,Paid
500173,700173,Debit Card,1264.52,Paid
500174,700174,UPI,10197.61,Paid
500175,700175,Credit Card,17408.02,Failed
500176,700176,Net Banking,24023.26,Paid
500177,700177,UPI,11013.42,Paid
500178,700178,Net Banking,10835.21,Paid
500179,700179,Credit Card,3887.09,Paid
500180,700180,Credit Card,24988.41,Paid
500181,700181,Credit Card,6170.74,Paid
500182,700182,UPI,933.54,Failed
500183,700183,COD,27585.17,Paid
500184,700184,COD,18339.42,Paid
500185,700185,Credit Card,17365.04,Paid
500186,700186,Credit Card,8569.59,Paid
500187,700187,Credit Card,9782.5,Paid
500188,700188,Credit Card,3183.18,Paid
500189,700189,Wallet,10016.19,Paid
500190,700190,Debit Card,73575.76,Paid
500191,700191,COD,511.82,Paid
500192,700192,Credit Card,8429.43,Paid
500193,700193,UPI,7489.11,Paid
500194,700194,COD,14947.63,Paid
500195,700195,Wallet,3166.39,Paid
500196,700196,Net Banking,9410.19,Paid
500197,700197,UPI,2374.82,Paid
500198,700198,UPI,3900.2,Failed
500199,700199,Wallet,35270.29,Pending
500200,700200,Net Banking,7096.76,Paid
500201,700201,Debit Card,31613.71,Paid
500202,700202,Credit Card,6864.32,Paid
500203,700203,COD,33699.9,Paid
500204,700204,Credit Card,23226.38,Paid
500205,700205,UPI,4144.92,Paid
500206,700206,Credit Card,15311.36,Failed
500207,700207,Credit Card,73544.17,Paid
500208,700208,Credit Card,23229.62,Paid
500209,700209,COD,66946.68,Paid
500210,700210,Net Banking,9876.68,Paid
500211,700211,UPI,8004.76,Paid
500212,700212,Net Banking,37415.28,Paid
500213,700213,UPI,58895.03,Paid
500214,700214,Debit Card,3884.29,Paid
500215,700215,UPI,4445.98,Paid
500216,700216,UPI,8765.15,Paid
500217,700217,COD,24867.17,Paid
500218,700218,UPI,92525.6,Paid
500219,700219,Credit Card,5225.66,Paid
500220,700220,Net Banking,14181.42,Paid
500221,700221,Net Banking,22154.72,Paid
500222,700222,UPI,27535.05,Paid
500223,700223,UPI,4983.73,Paid
500224,700224,UPI,1731.82,Paid
500225,700225,Wallet,5950.37,Paid
500226,700226,Debit Card,15200.09,Paid
500227,700227,Wallet,2834.76,Paid
500228,700228,UPI,660.98,Paid
500229,700229,Debit Card,2855.73,Paid
500230,700230,Credit Card,4549.68,Paid
500231,700231,Net Banking,16932.86,Paid
500232,700232,Net Banking,10580.69,Paid
500233,700233,UPI,7529.81,Paid
500234,700234,UPI,78525.53,Paid
500235,700235,UPI,5149.65,Paid
500236,700236,Credit Card,4157.29,Paid
500237,700237,UPI,19730.06,Paid
500238,700238,UPI,26674.36,Paid
500239,700239,Credit Card,45358.35,Paid
500240,700240,Credit Card,55318.76,Paid
500241,700241,Credit Card,2030.08,Paid
500242,700242,UPI,9705.94,Paid
500243,700243,UPI,272.15,Paid
500244,700244,Credit Card,76826.3,Paid
500245,700245,UPI,2506.37,Pending
500246,700246,Credit Card,27230.67,Paid
500247,700247,Debit Card,513.81,Paid
500248,700248,Debit Card,1063.77,Paid
500249,700249,UPI,3949.38,Paid
500250,700250,Credit Card,319.83,Paid
500251,700251,UPI,674.95,Paid
500252,700252,UPI,4894.88,Paid
500253,700253,COD,1229.78,Failed
500254,700254,Credit Card,1818.36,Paid
500255,700255,UPI,11414.45,Paid
500256,700256,UPI,439.51,Paid
500257,700257,Credit Card,41550.74,Paid
500258,700258,UPI,18278.61,Paid
500259,700259,COD,17453.23,Paid
500260,700260,Debit Card,1109.27,Paid
500261,700261,Wallet,949.05,Paid
500262,700262,Credit Card,585.44,Pending
500263,700263,COD,13279.03,Paid
500264,700264,COD,2053.18,Paid
500265,700265,Debit Card,4560.43,Paid
500266,700266,Net Banking,47947.89,Paid
500267,700267,UPI,16187.4,Paid
500268,700268,Debit Card,13726.59,Paid
500269,700269,Debit Card,169552.49,Paid
500270,700270,Debit Card,10566.29,Paid
500271,700271,COD,10463.98,Paid
500272,700272,Debit Card,24786.69,Paid
500273,700273,UPI,1344.89,Paid
500274,700274,Credit Card,1253.91,Paid
500275,700275,Credit Card,22174.71,Paid
500276,700276,COD,50441.51,Paid
500277,700277,Credit Card,9945.97,Paid
500278,700278,Net Banking,17189.53,Paid
500279,700279,Debit Card,4221.08,Paid
500280,700280,Net Banking,6968.18,Paid
500281,700281,Debit Card,2839.96,Paid
500282,700282,Credit Card,4215.06,Paid
500283,700283,Debit Card,17469.05,Paid
500284,700284,Debit Card,2108.57,Paid
500285,700285,UPI,4821.58,Paid
500286,700286,UPI,789.05,Paid
500287,700287,UPI,1588.16,Paid
500288,700288,UPI,1420.94,Paid
500289,700289,Wallet,2833.14,Paid
500290,700290,UPI,8586.21,Paid
500291,700291,COD,2038.87,Paid
500292,700292,UPI,5192.49,Paid
500293,700293,Debit Card,3440.05,Paid
500294,700294,UPI,5984.96,Paid
500295,700295,COD,227688.45,Paid
500296,700296,Credit Card,2688.54,Paid
500297,700297,Net Banking,19858.97,Paid
500298,700298,Debit Card,16463.47,Pending
500299,700299,Credit Card,8740.17,Pending
500300,700300,Debit Card,3743.72,Paid
500301,700301,UPI,1239.73,Paid
500302,700302,UPI,15663.95,Paid
500303,700303,COD,6764.2,Paid
500304,700304,Net Banking,2709.5,Paid
500305,700305,UPI,25925.57,Paid
500306,700306,Wallet,2351.46,Paid
500307,700307,UPI,1230.42,Paid
500308,700308,Credit Card,1478.07,Paid
500309,700309,Debit Card,40901.73,Paid
500310,700310,UPI,74639.25,Paid
500311,700311,UPI,24654.64,Paid
500312,700312,Credit Card,16394.87,Paid
500313,700313,COD,17196.51,Paid
500314,700314,Debit Card,3450.48,Paid
500315,700315,COD,281.74,Paid
500316,700316,UPI,2923.87,Failed
500317,700317,Net Banking,44548.97,Paid
500318,700318,COD,6653.59,Paid
500319,700319,Debit Card,803.87,Paid
500320,700320,UPI,15370.16,Failed
500321,700321,UPI,5222.96,Paid
500322,700322,Credit Card,10902.74,Paid
500323,700323,Credit Card,4065.37,Paid
500324,700324,UPI,10922.64,Paid
500325,700325,Debit Card,8226.04,Paid
500326,700326,Debit Card,585.67,Paid
500327,700327,Credit Card,22881.82,Paid
500328,700328,UPI,19700.86,Paid
500329,700329,UPI,6722.58,Paid
500330,700330,Credit Card,13589.46,Paid
500331,700331,COD,46231.2,Paid
500332,700332,Credit Card,37506.04,Paid
500333,700333,COD,2701.38,Paid
500334,700334,Debit Card,1796.76,Paid
500335,700335,Debit Card,1269.46,Paid
500336,700336,Net Banking,15138.16,Paid
500337,700337,UPI,4053.72,Paid
500338,700338,UPI,899.59,Paid
500339,700339,Net Banking,5517.02,Paid
500340,700340,UPI,13395.78,Paid
500341,700341,UPI,311.41,Paid
500342,700342,UPI,9734.92,Paid
500343,700343,UPI,17762.72,Paid
500344,700344,Wallet,14638.91,Paid
500345,700345,Debit Card,5499.52,Paid
500346,700346,Debit Card,7688.04,Paid
500347,700347,COD,23677.1,Paid
500348,700348,UPI,2206.3,Paid
500349,700349,UPI,11314.37,Paid
500350,700350,Wallet,2585.28,Failed
500351,700351,Wallet,1349.94,Paid
500352,700352,UPI,1290.3,Paid
500353,700353,COD,3712.88,Paid
500354,700354,COD,13200.17,Failed
500355,700355,COD,50103.32,Paid
500356,700356,UPI,2697.08,Paid
500357,700357,Credit Card,7186.82,Paid
500358,700358,COD,26836.39,Paid
500359,700359,Debit Card,49362.93,Paid
500360,700360,Credit Card,30327.66,Paid
500361,700361,Net Banking,4746.75,Pending
500362,700362,UPI,18458.76,Paid
500363,700363,Debit Card,1169.46,Paid
500364,700364,UPI,5008.95,Paid
500365,700365,Debit Card,4046.25,Paid
500366,700366,Credit Card,1429.34,Paid
500367,700367,Debit Card,1271.93,Paid
500368,700368,UPI,49621.61,Paid
500369,700369,Debit Card,73762.08,Pending
500370,700370,Credit Card,768.9,Paid
500371,700371,Debit Card,38561.8,Pending
500372,700372,Net Banking,1114.82,Paid
500373,700373,Credit Card,3166.45,Paid
500374,700374,UPI,51823.07,Paid
500375,700375,Debit Card,51119.52,Paid
500376,700376,Credit Card,10492.81,Paid
500377,700377,COD,1553.79,Paid
500378,700378,Credit Card,58727.46,Failed
500379,700379,Net Banking,7124.46,Paid
500380,700380,Credit Card,2338.3,Paid
500381,700381,Credit Card,18086.02,Paid
500382,700382,Net Banking,124039.92,Paid
500383,700383,COD,16161.15,Paid
500384,700384,Wallet,717.14,Paid
500385,700385,UPI,800.93,Paid
500386,700386,COD,7965.07,Pending
500387,700387,UPI,6135.03,Paid
500388,700388,COD,30050.31,Paid
500389,700389,COD,5643.4,Paid
500390,700390,Credit Card,12318.36,Paid
500391,700391,Net Banking,9084.79,Paid
500392,700392,Credit Card,72242.78,Paid
500393,700393,Wallet,1772.71,Paid
500394,700394,UPI,69678.62,Paid
500395,700395,Credit Card,410.08,Paid
500396,700396,UPI,2852.11,Paid
500397,700397,UPI,21294.29,Paid
500398,700398,Credit Card,1482.92,Paid
500399,700399,UPI,27364.21,Paid
500400,700400,UPI,48993.4,Paid
500401,700401,Credit Card,29747.17,Paid
500402,700402,UPI,32367.33,Paid
500403,700403,UPI,3874.78,Paid
500404,700404,UPI,2707.29,Paid
500405,700405,Debit Card,486.57,Paid
500406,700406,COD,2352.22,Paid
500407,700407,UPI,4491.42,Paid
500408,700408,Net Banking,6549.34,Paid
500409,700409,Credit Card,5006.02,Paid
500410,700410,COD,2360.15,Paid
500411,700411,Credit Card,49448.31,Paid
500412,700412,Debit Card,43933.0,Paid
500413,700413,COD,1736.97,Paid
500414,700414,Debit Card,31613.71,Paid
500415,700415,UPI,2136.25,Paid
500416,700416,Credit Card,11115.67,Paid
500417,700417,UPI,47243.1,Paid
500418,700418,Wallet,9733.79,Paid
500419,700419,UPI,31645.23,Paid
500420,700420,Net Banking,22867.54,Paid
500421,700421,UPI,1294.82,Paid
500422,700422,Wallet,45392.04,Paid
500423,700423,Net Banking,20390.45,Paid
500424,700424,Wallet,14651.98,Paid
500425,700425,Net Banking,2895.42,Paid
500426,700426,Credit Card,27494.07,Paid
500427,700427,Net Banking,40862.91,Paid
500428,700428,Debit Card,2079.68,Paid
500429,700429,Credit Card,23670.52,Paid
500430,700430,Credit Card,12138.39,Failed
500431,700431,UPI,10460.45,Paid
500432,700432,Net Banking,28562.67,Paid
500433,700433,Credit Card,1921.77,Paid
500434,700434,Debit Card,11803.58,Paid
500435,700435,UPI,5187.45,Paid
500436,700436,Net Banking,2818.44,Paid
500437,700437,Credit Card,3113.57,Failed
500438,700438,Credit Card,5176.95,Paid
500439,700439,COD,1133.67,Paid
500440,700440,COD,68669.87,Paid
500441,700441,COD,3444.42,Paid
500442,700442,UPI,45656.92,Paid
500443,700443,UPI,9900.73,Paid
500444,700444,Credit Card,3469.84,Paid
500445,700445,UPI,7698.47,Paid
500446,700446,Debit Card,44797.09,Paid
500447,700447,COD,11985.54,Pending
500448,700448,Credit Card,1270.53,Paid
500449,700449,UPI,3163.32,Paid
500450,700450,Debit Card,2165.96,Paid
500451,700451,Credit Card,72849.01,Paid
500452,700452,Credit Card,466.98,Paid
500453,700453,COD,11919.21,Failed
500454,700454,Credit Card,44229.02,Paid
500455,700455,COD,21098.21,Paid
500456,700456,Debit Card,534.01,Paid
500457,700457,UPI,2746.84,Paid
500458,700458,Net Banking,1575.16,Paid
500459,700459,UPI,44856.91,Paid
500460,700460,UPI,435.31,Paid
500461,700461,Credit Card,59459.07,Paid
500462,700462,UPI,19590.24,Paid
500463,700463,Credit Card,2018.6,Paid
500464,700464,Credit Card,114200.65,Paid
500465,700465,Credit Card,2430.38,Paid
500466,700466,Credit Card,3556.05,Paid
500467,700467,UPI,118703.79,Paid
500468,700468,UPI,11312.7,Paid
500469,700469,UPI,89046.09,Paid
500470,700470,Debit Card,530.34,Paid
500471,700471,COD,9319.25,Paid
500472,700472,UPI,1301.15,Paid
500473,700473,UPI,2003.88,Paid
500474,700474,Credit Card,6669.58,Paid
500475,700475,COD,61054.39,Pending
500476,700476,UPI,64383.49,Failed
500477,700477,Credit Card,4929.39,Paid
500478,700478,Net Banking,2466.22,Paid
500479,700479,Credit Card,6784.96,Paid
500480,700480,Credit Card,15121.83,Paid
500481,700481,UPI,6146.64,Paid
500482,700482,UPI,3285.5,Paid
500483,700483,Net Banking,16136.61,Paid
500484,700484,Debit Card,2137.34,Paid
500485,700485,Debit Card,1152.74,Paid
500486,700486,Net Banking,1458.57,Paid
500487,700487,Wallet,11222.45,Paid
500488,700488,Debit Card,7893.19,Pending
500489,700489,Net Banking,7919.54,Pending
500490,700490,Credit Card,43536.07,Paid
500491,700491,Credit Card,678.84,Paid
500492,700492,UPI,1206.98,Paid
500493,700493,Credit Card,2173.96,Paid
500494,700494,COD,2209.84,Paid
500495,700495,Debit Card,71624.75,Paid
500496,700496,COD,4053.0,Paid
500497,700497,Credit Card,3251.16,Paid
500498,700498,UPI,286.47,Paid
500499,700499,UPI,2934.28,Paid
500500,700500,COD,9154.95,Paid
500501,700501,COD,2033.51,Paid
500502,700502,COD,583.61,Paid
500503,700503,UPI,6163.1,Paid
500504,700504,Wallet,11597.76,Failed
500505,700505,Credit Card,1651.64,Paid
500506,700506,Credit Card,10513.43,Paid
500507,700507,Net Banking,12470.16,Paid
500508,700508,Credit Card,95054.58,Paid
500509,700509,UPI,20777.5,Paid
500510,700510,Debit Card,4803.75,Paid
500511,700511,UPI,62009.88,Paid
500512,700512,UPI,17913.49,Paid
500513,700513,UPI,912.35,Paid
500514,700514,Credit Card,2227.3,Paid
500515,700515,COD,5862.9,Paid
500516,700516,UPI,15979.17,Paid
500517,700517,UPI,10953.25,Paid
500518,700518,COD,3889.04,Paid
500519,700519,Net Banking,1828.68,Paid
500520,700520,Net Banking,38633.44,Paid
500521,700521,UPI,1736.59,Paid
500522,700522,UPI,6084.56,Paid
500523,700523,COD,384.82,Pending
500524,700524,UPI,27968.62,Paid
500525,700525,UPI,1561.38,Paid
500526,700526,COD,3949.38,Failed
500527,700527,UPI,10856.71,Paid
500528,700528,COD,902.26,Paid
500529,700529,UPI,87843.58,Pending
500530,700530,Wallet,25384.18,Paid
500531,700531,COD,1282.75,Failed
500532,700532,Debit Card,812.03,Paid
500533,700533,UPI,107241.09,Paid
500534,700534,UPI,7569.08,Paid
500535,700535,COD,36653.62,Paid
500536,700536,UPI,3248.74,Paid
500537,700537,UPI,7196.76,Paid
500538,700538,UPI,70731.48,Paid
500539,700539,Credit Card,19626.83,Paid
500540,700540,Credit Card,66378.42,Paid
500541,700541,Debit Card,2379.71,Paid
500542,700542,UPI,22271.33,Paid
500543,700543,Credit Card,319.83,Paid
500544,700544,Credit Card,11371.43,Paid
500545,700545,Credit Card,9592.75,Paid
500546,700546,Credit Card,29573.79,Paid
500547,700547,UPI,584.73,Paid
500548,700548,Credit Card,8050.75,Paid
500549,700549,Wallet,1136.83,Paid
500550,700550,Credit Card,114030.57,Paid
500551,700551,UPI,526.26,Paid
500552,700552,Credit Card,13316.52,Paid
500553,700553,Credit Card,2415.51,Paid
500554,700554,UPI,12183.12,Paid
500555,700555,UPI,23949.2,Paid
500556,700556,Credit Card,66201.64,Paid
500557,700557,UPI,7860.04,Paid
500558,700558,COD,12258.76,Paid
500559,700559,Net Banking,4605.26,Paid
500560,700560,UPI,2532.65,Paid
500561,700561,Debit Card,44630.23,Paid
500562,700562,Credit Card,429.7,Paid
500563,700563,UPI,45320.58,Paid
500564,700564,UPI,1417.22,Paid
500565,700565,Credit Card,2803.69,Paid
500566,700566,Credit Card,5923.31,Paid
500567,700567,Debit Card,435.31,Paid
500568,700568,Credit Card,19163.28,Paid
500569,700569,Credit Card,11471.66,Paid
500570,700570,UPI,2779.64,Paid
500571,700571,COD,27999.42,Paid
500572,700572,Net Banking,5225.66,Paid
500573,700573,UPI,9685.41,Paid
500574,700574,UPI,3238.91,Paid
500575,700575,UPI,32683.32,Pending
500576,700576,Debit Card,3325.28,Paid
500577,700577,Wallet,987.15,Paid
500578,700578,Credit Card,12056.2,Paid
500579,700579,Wallet,17070.95,Paid
500580,700580,Debit Card,8086.55,Paid
500581,700581,Net Banking,32329.03,Paid
500582,700582,COD,48939.73,Pending
500583,700583,UPI,1972.83,Paid
500584,700584,Credit Card,11854.99,Paid
500585,700585,Credit Card,59651.06,Paid
500586,700586,UPI,11431.68,Paid
500587,700587,UPI,436.14,Paid
500588,700588,COD,21370.75,Paid
500589,700589,Credit Card,5016.99,Paid
500590,700590,UPI,28437.3,Paid
500591,700591,UPI,5047.42,Paid
500592,700592,Credit Card,3287.21,Paid
500593,700593,UPI,61131.5,Paid
500594,700594,Credit Card,16625.0,Paid
500595,700595,Credit Card,1340.19,Paid
500596,700596,COD,1391.54,Pending
500597,700597,UPI,105002.3,Paid
500598,700598,COD,11081.74,Paid
500599,700599,UPI,12948.43,Paid
500600,700600,Net Banking,10149.84,Paid
500601,700601,Debit Card,6137.01,Paid
500602,700602,Credit Card,331.46,Paid
500603,700603,UPI,298.31,Paid
500604,700604,Credit Card,71913.13,Paid
500605,700605,Net Banking,4378.14,Paid
500606,700606,UPI,41309.74,Paid
500607,700607,UPI,4174.72,Paid
500608,700608,Credit Card,5377.04,Paid
500609,700609,Wallet,29709.68,Paid
500610,700610,Debit Card,2934.08,Paid
500611,700611,COD,4618.49,Paid
500612,700612,Debit Card,52672.72,Paid
500613,700613,UPI,13120.49,Paid
500614,700614,UPI,19715.4,Pending
500615,700615,Credit Card,1278.75,Paid
500616,700616,Credit Card,1553.78,Paid
500617,700617,UPI,55880.15,Paid
500618,700618,Credit Card,11116.07,Paid
500619,700619,Credit Card,20033.82,Paid
500620,700620,Debit Card,21431.95,Paid
500621,700621,UPI,30345.69,Paid
500622,700622,Credit Card,35108.42,Paid
500623,700623,Credit Card,3321.05,Paid
500624,700624,Debit Card,6910.44,Paid
500625,700625,COD,67800.33,Paid
500626,700626,Credit Card,13846.32,Paid
500627,700627,COD,38133.87,Paid
500628,700628,UPI,59173.95,Paid
500629,700629,Debit Card,3434.66,Paid
500630,700630,COD,42543.47,Paid
500631,700631,Wallet,3132.41,Paid
500632,700632,UPI,1533.84,Paid
500633,700633,UPI,8048.92,Paid
500634,700634,UPI,1277.98,Paid
500635,700635,Credit Card,13092.45,Paid
500636,700636,UPI,10180.56,Paid
500637,700637,UPI,127860.32,Paid
500638,700638,Debit Card,36116.15,Paid
500639,700639,Credit Card,7130.74,Paid
500640,700640,UPI,1058.34,Paid
500641,700641,Credit Card,67107.88,Paid
500642,700642,UPI,4509.72,Paid
500643,700643,UPI,59298.65,Failed
500644,700644,UPI,14720.02,Paid
500645,700645,COD,8056.65,Paid
500646,700646,Debit Card,6307.57,Paid
500647,700647,UPI,1805.5,Paid
500648,700648,Debit Card,1301.72,Paid
500649,700649,Credit Card,9254.29,Paid
500650,700650,Debit Card,80648.97,Paid
500651,700651,UPI,5484.98,Paid
500652,700652,COD,64840.12,Paid
500653,700653,UPI,9740.42,Paid
500654,700654,UPI,1979.93,Paid
500655,700655,UPI,39602.08,Paid
500656,700656,Credit Card,1693.34,Paid
500657,700657,COD,519.02,Paid
500658,700658,UPI,626.19,Paid
500659,700659,UPI,8035.47,Paid
500660,700660,COD,1478.26,Paid
500661,700661,COD,4919.96,Paid
500662,700662,Wallet,23696.5,Paid
500663,700663,UPI,7376.96,Paid
500664,700664,UPI,10296.18,Paid
500665,700665,COD,7385.48,Paid
500666,700666,Net Banking,10274.89,Paid
500667,700667,Debit Card,68542.68,Paid
500668,700668,UPI,12815.21,Paid
500669,700669,UPI,42451.49,Paid
500670,700670,Credit Card,8982.62,Paid
500671,700671,UPI,2697.96,Paid
500672,700672,Credit Card,9084.79,Paid
500673,700673,UPI,1687.2,Paid
500674,700674,Credit Card,34325.98,Paid
500675,700675,Credit Card,6171.1,Paid
500676,700676,COD,557.2,Paid
500677,700677,Net Banking,1428.15,Paid
500678,700678,UPI,1789.36,Paid
500679,700679,UPI,5531.45,Paid
500680,700680,COD,5713.65,Paid
500681,700681,Credit Card,54541.33,Paid
500682,700682,UPI,6893.98,Paid
500683,700683,Credit Card,30982.79,Pending
500684,700684,COD,3014.98,Paid
500685,700685,UPI,45573.66,Paid
500686,700686,UPI,16214.25,Paid
500687,700687,Net Banking,3107.58,Paid
500688,700688,UPI,5826.44,Paid
500689,700689,Credit Card,1727.4,Paid
500690,700690,Credit Card,33056.21,Paid
500691,700691,UPI,36244.46,Paid
500692,700692,Credit Card,670.39,Paid
500693,700693,Debit Card,51399.59,Paid
500694,700694,UPI,21810.98,Paid
500695,700695,Wallet,2229.71,Paid
500696,700696,Wallet,425.2,Paid
500697,700697,Credit Card,2348.42,Pending
500698,700698,Net Banking,4251.1,Paid
500699,700699,UPI,22552.35,Paid
500700,700700,UPI,4573.96,Paid
500701,700701,UPI,56407.62,Paid
500702,700702,Wallet,23589.33,Paid
500703,700703,UPI,8162.33,Paid
500704,700704,Debit Card,15274.24,Paid
500705,700705,Credit Card,1871.2,Paid
500706,700706,Wallet,5414.01,Paid
