order_id,customer_id,order_date,sales_channel,order_status,shipping_city
500132,11133,2025-05-21,Organic,Delivered,Delhi
500133,14706,2024-11-21,Paid Search,Delivered,Ahmedabad
500134,12476,2024-01-16,Social,Delivered,Chennai
500135,11293,2024-04-25,Direct,Delivered,Kochi
500136,14456,2025-12-10,Email,Delivered,Chennai
500137,12353,2025-07-18,Paid Search,Delivered,Indore
500138,13437,2024-09-13,Social,Delivered,Bengaluru
500139,13051,2025-09-30,Direct,Delivered,Kochi
500140,11494,2024-01-05,Organic,Delivered,Patna
500141,14915,2024-02-04,Organic,Cancelled,Delhi
500142,14170,2025-10-08,Email,Delivered,Delhi
500143,12647,2025-05-07,Email,Delivered,Bhopal
500144,12870,2025-03-14,Paid Search,Delivered,Noida
500145,10348,2024-09-08,Organic,Delivered,Gurugram
500146,13650,2025-08-20,Social,Delivered,Ahmedabad
500147,14550,2025-03-20,Organic,Delivered,Mumbai
500148,14848,2024-11-14,Organic,Delivered,Ahmedabad
500149,12800,2024-10-05,Paid Search,Delivered,Indore
500150,14988,2024-09-15,Organic,Delivered,Bengaluru
500151,13992,2025-02-24,Paid Search,Delivered,Kolkata
500152,12525,2025-04-23,Affiliate,Delivered,Indore
500153,14002,2025-08-11,Organic,Delivered,Noida
500154,10784,2024-10-23,Social,Delivered,Pune
500155,13379,2024-07-04,Social,Delivered,Ghaziabad
500156,13098,2025-02-10,Organic,Delivered,Gurugram
500157,12466,2025-03-02,Affiliate,Delivered,Gurugram
500158,13220,2024-07-22,Organic,Delivered,Pune
500159,14261,2024-02-23,Direct,Delivered,Patna
500160,12861,2024-08-31,Email,Delivered,Patna
500161,11896,2024-02-21,Paid Search,Delivered,Ghaziabad
500162,12111,2024-03-01,Direct,Delivered,Chennai
500163,12842,2025-12-07,Paid Search,Delivered,Kolkata
500164,12908,2025-07-25,Paid Search,Delivered,Indore
500165,11568,2024-01-26,Paid Search,Delivered,Indore
500166,12671,2024-09-12,Email,Delivered,Chandigarh
500167,11438,2024-07-05,Email,Delivered,Jaipur
500168,14724,2025-12-13,Email,Cancelled,Bhopal
500169,12673,2024-11-15,Direct,Delivered,Kolkata
500170,14189,2024-07-08,Direct,Delivered,Kochi
500171,11898,2025-04-09,Organic,Delivered,Patna
500172,11969,2024-12-13,Direct,Delivered,Noida
500173,11443,2024-05-16,Organic,Delivered,Kochi
500174,12855,2024-08-11,Direct,Delivered,Chandigarh
500175,13082,2024-04-03,Paid Search,Cancelled,Chennai
500176,12831,2025-05-22,Paid Search,Delivered,Noida
500177,14185,2025-12-10,Paid Search,Delivered,Chennai
500178,12554,2025-08-13,Organic,Delivered,Patna
500179,14106,2024-10-01,Affiliate,Delivered,Patna
500180,10291,2024-12-22,Organic,Delivered,Ghaziabad
500181,11801,2024-02-14,Paid Search,Delivered,Delhi
500182,13563,2024-09-25,Direct,Cancelled,Bhopal
500183,11918,2024-01-24,Email,Delivered,Chennai
500184,13657,2025-06-28,Social,Delivered,Chennai
500185,12960,2025-10-26,Direct,Delivered,Delhi
500186,12421,2024-05-19,Organic,Delivered,Delhi
500187,12790,2025-05-07,Paid Search,Delivered,Patna
500188,14508,2025-03-14,Organic,Delivered,Mumbai
500189,13393,2024-11-01,Organic,Delivered,Lucknow
500190,14920,2025-06-20,Organic,Delivered,Ghaziabad
500191,10479,2025-05-11,Email,Delivered,Ghaziabad
500192,14065,2024-07-15,Paid Search,Delivered,Bhopal
500193,14457,2025-08-06,Email,Delivered,Indore
500194,14640,2025-04-24,Affiliate,Delivered,Chennai
500195,12696,2024-08-16,Paid Search,Delivered,Gurugram
500196,12438,2025-06-21,Social,Delivered,Noida
500197,12919,2025-04-13,Organic,Delivered,Hyderabad
500198,14572,2024-03-26,Affiliate,Cancelled,Lucknow
500199,14334,2024-05-01,Paid Search,Delivered,Gurugram
500200,14676,2024-08-24,Direct,Delivered,Ghaziabad
500201,14846,2024-02-02,Social,Delivered,Noida
500202,13118,2024-10-24,Email,Delivered,Chennai
500203,11296,2024-12-03,Paid Search,Delivered,Indore
500204,10754,2025-07-21,Paid Search,Delivered,Hyderabad
500205,14489,2024-05-05,Paid Search,Delivered,Ahmedabad
500206,10762,2025-02-18,Email,Cancelled,Indore
500207,10353,2025-04-30,Social,Delivered,Patna
500208,12362,2024-11-24,Affiliate,Delivered,Delhi
500209,13717,2025-10-25,Organic,Delivered,Bhopal
500210,13678,2024-08-21,Direct,Delivered,Gurugram
500211,11271,2024-10-25,Direct,Delivered,Hyderabad
500212,12507,2024-01-03,Paid Search,Delivered,Mumbai
500213,14473,2024-10-27,Organic,Delivered,Hyderabad
500214,14000,2024-01-15,Social,Delivered,Mumbai
500215,14584,2025-12-20,Organic,Delivered,Pune
500216,13849,2024-06-24,Organic,Delivered,Chennai
500217,10456,2025-08-16,Social,Delivered,Bengaluru
500218,11019,2024-03-26,Email,Delivered,Kolkata
500219,10846,2024-07-19,Organic,Delivered,Indore
500220,10664,2024-03-28,Direct,Delivered,Kochi
500221,14293,2024-09-26,Organic,Delivered,Bhopal
500222,13530,2025-03-16,Organic,Delivered,Jaipur
500223,14569,2024-11-02,Organic,Delivered,Ghaziabad
500224,11602,2025-03-18,Direct,Delivered,Ahmedabad
500225,14900,2025-08-12,Direct,Delivered,Noida
500226,14657,2024-02-02,Organic,Delivered,Chandigarh
500227,10531,2024-11-06,Email,Delivered,Kolkata
500228,14343,2025-03-10,Organic,Delivered,Chennai
500229,10554,2025-01-17,Organic,Delivered,Bhopal
500230,12257,2024-04-16,Organic,Delivered,Noida
500231,10904,2024-05-31,Affiliate,Delivered,Lucknow
500232,12903,2024-10-02,Paid Search,Delivered,Gurugram
500233,10089,2025-04-21,Social,Delivered,Delhi
500234,14236,2025-12-24,Organic,Delivered,Bhopal
500235,12382,2024-09-26,Direct,Delivered,Bhopal
500236,14357,2025-01-16,Direct,Delivered,Bengaluru
500237,12167,2024-08-12,Paid Search,Delivered,Pune
500238,12785,2024-01-25,Email,Delivered,Ghaziabad
500239,13691,2024-10-18,Email,Delivered,Indore
500240,14860,2024-09-11,Direct,Delivered,Delhi
500241,11872,2024-04-20,Social,Delivered,Bengaluru
500242,12605,2025-05-05,Paid Search,Delivered,Jaipur
500243,11623,2024-07-07,Paid Search,Delivered,Bengaluru
500244,10206,2024-06-13,Email,Delivered,Kolkata
500245,14366,2024-10-11,Social,Delivered,Lucknow
500246,12814,2025-12-06,Organic,Delivered,Indore
500247,11863,2025-04-10,Affiliate,Delivered,Hyderabad
500248,13886,2024-11-06,Direct,Delivered,Chandigarh
500249,14094,2025-08-22,Social,Delivered,Chennai
500250,14925,2024-01-16,Social,Delivered,Gurugram
500251,12185,2024-09-03,Social,Delivered,Hyderabad
500252,10527,2025-01-30,Social,Delivered,Hyderabad
500253,12427,2024-12-23,Organic,Cancelled,Indore
500254,12203,2025-05-09,Paid Search,Delivered,Pune
500255,11038,2025-05-27,Paid Search,Delivered,Patna
500256,12934,2024-11-29,Direct,Delivered,Pune
500257,12071,2025-11-10,Organic,Delivered,Hyderabad
500258,14408,2025-11-09,Paid Search,Delivered,Hyderabad
500259,10239,2024-12-13,Social,Delivered,Kolkata
500260,13580,2025-10-21,Direct,Delivered,Ahmedabad
500261,13010,2025-04-13,Social,Delivered,Hyderabad
500262,11157,2024-04-11,Paid Search,Delivered,Ahmedabad
500263,11763,2024-03-28,Social,Delivered,Gurugram
500264,14297,2024-02-28,Paid Search,Delivered,Kolkata
500265,11821,2024-06-03,Social,Delivered,Delhi
500266,13322,2024-08-16,Email,Delivered,Indore
500267,12563,2024-02-20,Social,Delivered,Delhi
500268,14476,2025-03-20,Social,Delivered,Gurugram
500269,13303,2024-10-27,Organic,Delivered,Hyderabad
500270,14172,2025-03-15,Email,Delivered,Indore
500271,14518,2025-01-02,Direct,Delivered,Lucknow
500272,10647,2024-07-17,Social,Delivered,Indore
500273,14169,2025-03-25,Affiliate,Delivered,Kolkata
500274,14803,2025-11-26,Social,Delivered,Hyderabad
500275,10182,2024-08-19,Email,Delivered,Mumbai
500276,12272,2024-08-12,Paid Search,Delivered,Kochi
500277,11275,2025-01-12,Direct,Delivered,Bhopal
500278,14913,2025-08-10,Organic,Delivered,Ghaziabad
500279,11760,2025-01-23,Organic,Delivered,Bhopal
500280,10936,2025-08-31,Organic,Delivered,Indore
500281,10479,2024-02-24,Social,Delivered,Delhi
500282,13967,2024-03-12,Email,Delivered,Patna
500283,10294,2024-10-24,Email,Delivered,Kochi
500284,11525,2024-06-18,Organic,Delivered,Indore
500285,12772,2024-01-17,Email,Delivered,Ghaziabad
500286,10225,2024-06-06,Organic,Delivered,Noida
500287,10874,2024-07-17,Affiliate,Delivered,Ahmedabad
500288,14971,2025-11-03,Paid Search,Delivered,Jaipur
500289,12290,2025-07-25,Paid Search,Delivered,Chennai
500290,11518,2024-09-13,Paid Search,Delivered,Lucknow
500291,14349,2025-12-01,Paid Search,Delivered,Pune
500292,10403,2025-09-03,Email,Delivered,Bhopal
500293,11321,2024-07-02,Direct,Delivered,Delhi
500294,14303,2024-12-15,Social,Delivered,Mumbai
500295,13765,2025-11-04,Paid Search,Delivered,Bhopal
500296,12161,2024-11-30,Paid Search,Delivered,Kolkata
500297,14904,2024-09-28,Email,Delivered,Noida
500298,12883,2025-10-22,Social,Delivered,Pune
500299,13727,2025-04-27,Affiliate,Delivered,Chennai
500300,14925,2024-11-18,Social,Delivered,Jaipur
500301,12522,2025-09-27,Paid Search,Delivered,Bengaluru
500302,12404,2025-06-28,Direct,Delivered,Noida
500303,13319,2024-09-11,Organic,Delivered,Bengaluru
500304,10336,2024-11-06,Email,Delivered,Chandigarh
500305,12144,2024-02-04,Paid Search,Delivered,Ahmedabad
500306,13456,2024-03-15,Organic,Delivered,Delhi
500307,11895,2025-11-28,Organic,Delivered,Jaipur
500308,13553,2024-02-08,Email,Delivered,Ahmedabad
500309,12017,2025-09-03,Organic,Delivered,Mumbai
500310,10972,2024-06-01,Direct,Delivered,Pune
500311,10732,2025-01-30,Paid Search,Delivered,Pune
500312,12728,2025-06-11,Paid Search,Delivered,Chandigarh
500313,10968,2025-12-25,Email,Delivered,Chandigarh
500314,11847,2024-09-30,Organic,Delivered,Chennai
500315,12600,2025-11-07,Organic,Delivered,Patna
500316,10250,2024-11-27,Paid Search,Cancelled,Chennai
500317,12103,2025-09-25,Social,Delivered,Lucknow
500318,11559,2024-03-15,Paid Search,Delivered,Hyderabad
500319,11570,2024-07-14,Social,Delivered,Bengaluru
500320,14548,2025-03-31,Email,Cancelled,Lucknow
500321,14625,2025-05-31,Direct,Delivered,Chennai
500322,11502,2025-08-10,Paid Search,Delivered,Delhi
500323,14405,2024-09-18,Affiliate,Delivered,Kochi
500324,11116,2025-04-01,Organic,Delivered,Gurugram
500325,11735,2025-03-29,Social,Delivered,Gurugram
500326,14705,2025-12-20,Paid Search,Delivered,Bhopal
500327,10509,2024-03-26,Social,Delivered,Chandigarh
500328,11912,2024-01-12,Organic,Delivered,Hyderabad
500329,14026,2025-02-24,Organic,Delivered,Patna
500330,14703,2024-01-12,Paid Search,Delivered,Jaipur
500331,14743,2024-05-23,Paid Search,Delivered,Bhopal
500332,14402,2024-12-31,Paid Search,Delivered,Bhopal
500333,14823,2024-07-14,Social,Delivered,Delhi
500334,12353,2024-07-13,Organic,Delivered,Bhopal
500335,11616,2024-09-10,Email,Delivered,Mumbai
500336,11925,2025-05-16,Paid Search,Delivered,Indore
500337,10604,2024-09-24,Organic,Delivered,Ghaziabad
500338,10689,2025-08-02,Paid Search,Delivered,Hyderabad
500339,14869,2024-04-26,Social,Delivered,Patna
500340,10954,2024-03-15,Social,Delivered,Ahmedabad
500341,13082,2024-05-01,Affiliate,Delivered,Kolkata
500342,11163,2025-11-01,Paid Search,Delivered,Kochi
500343,13321,2024-07-21,Social,Delivered,Noida
500344,12352,2024-01-22,Social,Delivered,Chennai
500345,10526,2024-08-18,Direct,Delivered,Bhopal
500346,11861,2025-05-18,Email,Delivered,Bengaluru
500347,13654,2024-09-21,Organic,Delivered,Noida
500348,14002,2024-10-08,Direct,Delivered,Ahmedabad
500349,11448,2024-03-04,Paid Search,Delivered,Indore
500350,11484,2025-05-02,Direct,Cancelled,Bengaluru
500351,13649,2024-06-10,Paid Search,Delivered,Noida
500352,12123,2024-03-12,Social,Delivered,Jaipur
500353,10351,2025-06-06,Social,Delivered,Jaipur
500354,10614,2025-11-16,Organic,Cancelled,Ghaziabad
500355,11869,2025-03-22,Email,Delivered,Kolkata
500356,11357,2025-11-16,Organic,Delivered,Ahmedabad
500357,10595,2024-10-20,Organic,Delivered,Pune
500358,13916,2025-01-14,Paid Search,Delivered,Chennai
500359,12295,2024-09-18,Direct,Delivered,Patna
500360,13536,2025-01-07,Direct,Delivered,Jaipur
500361,10010,2025-10-14,Social,Delivered,Kolkata
500362,12012,2025-04-09,Social,Delivered,Indore
500363,12391,2024-01-20,Organic,Delivered,Bengaluru
500364,12888,2025-02-28,Paid Search,Delivered,Indore
500365,14841,2024-10-02,Direct,Delivered,Delhi
500366,12292,2025-02-01,Affiliate,Delivered,Delhi
500367,12447,2025-02-11,Email,Delivered,Chennai
500368,14477,2025-03-06,Paid Search,Delivered,Delhi
500369,11993,2025-09-25,Affiliate,Delivered,Jaipur
500370,11974,2025-09-19,Direct,Delivered,Patna
500371,10799,2025-12-11,Direct,Delivered,Hyderabad
500372,13611,2025-03-22,Social,Delivered,Chennai
500373,10098,2024-07-27,Organic,Delivered,Bengaluru
500374,11093,2024-05-23,Direct,Delivered,Ahmedabad
500375,12091,2025-09-12,Social,Delivered,Ahmedabad
500376,12171,2025-10-30,Organic,Delivered,Bengaluru
500377,10193,2024-01-28,Organic,Delivered,Patna
500378,12647,2024-06-06,Social,Cancelled,Kolkata
500379,14860,2025-05-11,Direct,Delivered,Chennai
500380,10524,2024-04-30,Direct,Delivered,Chandigarh
500381,12468,2024-02-06,Direct,Delivered,Ghaziabad
500382,12938,2025-12-29,Social,Delivered,Delhi
500383,11621,2024-03-11,Direct,Delivered,Kochi
500384,12874,2024-06-05,Organic,Delivered,Jaipur
500385,11705,2025-12-23,Organic,Delivered,Indore
500386,10794,2024-03-14,Organic,Delivered,Ghaziabad
500387,14203,2025-08-07,Affiliate,Delivered,Indore
500388,14994,2025-02-14,Direct,Delivered,Pune
500389,11930,2025-01-29,Direct,Delivered,Hyderabad
500390,10463,2025-08-27,Direct,Delivered,Indore
500391,10818,2024-01-16,Social,Delivered,Bhopal
500392,14477,2024-02-14,Affiliate,Delivered,Delhi
500393,14405,2024-05-22,Paid Search,Delivered,Mumbai
500394,12458,2024-12-24,Affiliate,Delivered,Ahmedabad
500395,14357,2025-12-04,Affiliate,Delivered,Pune
500396,11114,2024-02-20,Paid Search,Delivered,Bhopal
500397,12002,2024-11-03,Organic,Delivered,Lucknow
500398,10564,2024-11-09,Paid Search,Delivered,Bengaluru
500399,12725,2024-05-23,Direct,Delivered,Jaipur
500400,13498,2024-09-08,Social,Delivered,Hyderabad
500401,14808,2024-05-26,Paid Search,Delivered,Gurugram
500402,13773,2024-04-10,Direct,Delivered,Ghaziabad
500403,13325,2025-01-16,Paid Search,Delivered,Noida
500404,13368,2025-11-11,Paid Search,Delivered,Pune
500405,13146,2024-10-22,Affiliate,Delivered,Ghaziabad
500406,12100,2025-04-09,Paid Search,Delivered,Chennai
500407,12501,2025-05-04,Paid Search,Delivered,Pune
500408,10863,2025-09-08,Email,Delivered,Lucknow
500409,10101,2025-08-25,Paid Search,Delivered,Hyderabad
500410,13948,2025-10-24,Paid Search,Delivered,Ghaziabad
500411,12481,2025-08-18,Organic,Delivered,Bhopal
500412,14357,2025-11-10,Direct,Delivered,Gurugram
500413,10609,2025-12-07,Social,Delivered,Hyderabad
500414,11960,2025-06-30,Direct,Delivered,Kolkata
500415,11287,2024-12-26,Email,Delivered,Chandigarh
500416,14207,2024-08-12,Organic,Delivered,Noida
500417,11885,2025-02-21,Paid Search,Delivered,Indore
500418,13179,2025-08-28,Paid Search,Delivered,Patna
500419,10422,2025-07-04,Affiliate,Delivered,Gurugram
500420,12635,2025-01-15,Social,Delivered,Kochi
500421,12207,2024-02-25,Email,Delivered,Pune
500422,13054,2024-07-17,Affiliate,Delivered,Ghaziabad
500423,12927,2025-02-25,Paid Search,Delivered,Kolkata
500424,10539,2024-10-09,Direct,Delivered,Lucknow
500425,10251,2024-11-29,Social,Delivered,Lucknow
500426,10627,2024-08-08,Email,Delivered,Chandigarh
500427,11089,2024-02-25,Organic,Delivered,Ghaziabad
500428,13634,2024-12-06,Paid Search,Delivered,Patna
500429,11346,2024-11-21,Affiliate,Delivered,Gurugram
500430,14850,2025-07-25,Paid Search,Cancelled,Chennai
500431,10434,2024-03-22,Direct,Delivered,Lucknow
500432,12540,2024-12-20,Email,Delivered,Kolkata
500433,13580,2025-09-16,Email,Delivered,Lucknow
500434,10271,2024-07-14,Paid Search,Delivered,Delhi
500435,12571,2024-08-19,Direct,Delivered,Kochi
500436,10341,2024-03-04,Direct,Delivered,Kochi
500437,13950,2025-02-23,Paid Search,Cancelled,Lucknow
500438,12337,2025-09-17,Social,Delivered,Indore
500439,14324,2024-12-17,Direct,Delivered,Chandigarh
500440,13289,2024-11-01,Organic,Delivered,Mumbai
500441,11585,2025-07-01,Paid Search,Delivered,Bengaluru
500442,10775,2024-11-19,Direct,Delivered,Bhopal
500443,10792,2024-10-18,Social,Delivered,Hyderabad
500444,10166,2025-07-12,Direct,Delivered,Gurugram
500445,11502,2024-07-26,Paid Search,Delivered,Kochi
500446,13648,2025-09-13,Social,Delivered,Bhopal
500447,11774,2024-07-15,Social,Delivered,Kochi
500448,10731,2025-01-08,Social,Delivered,Bhopal
500449,10401,2024-07-01,Direct,Delivered,Delhi
500450,12191,2025-04-07,Email,Delivered,Chennai
500451,11050,2024-11-13,Direct,Delivered,Kochi
500452,13671,2024-06-23,Paid Search,Delivered,Pune
500453,11685,2025-06-27,Direct,Cancelled,Mumbai
500454,10627,2025-11-14,Email,Delivered,Kolkata
500455,11364,2024-01-21,Organic,Delivered,Mumbai
500456,12214,2025-02-19,Paid Search,Delivered,Gurugram
500457,10189,2025-06-09,Paid Search,Delivered,Bhopal
500458,10558,2025-06-10,Paid Search,Delivered,Ghaziabad
500459,14805,2024-06-10,Direct,Delivered,Gurugram
500460,11738,2024-03-24,Direct,Delivered,Jaipur
500461,13741,2025-01-10,Organic,Delivered,Gurugram
500462,14563,2025-04-10,Organic,Delivered,Lucknow
500463,10568,2024-07-30,Paid Search,Delivered,Kolkata
500464,13431,2024-09-26,Direct,Delivered,Jaipur
500465,14166,2025-01-23,Email,Delivered,Mumbai
500466,10116,2024-11-24,Social,Delivered,Pune
500467,11555,2024-12-19,Social,Delivered,Ghaziabad
500468,10673,2025-05-13,Direct,Delivered,Indore
500469,10160,2025-12-20,Paid Search,Delivered,Chennai
500470,11470,2025-08-05,Organic,Delivered,Noida
500471,10915,2024-01-06,Social,Delivered,Noida
500472,14478,2024-09-12,Direct,Delivered,Chandigarh
500473,11187,2024-01-08,Email,Delivered,Chennai
500474,13736,2025-09-30,Direct,Delivered,Bengaluru
500475,10258,2025-04-16,Direct,Delivered,Bhopal
500476,13088,2024-06-09,Organic,Cancelled,Chennai
500477,13475,2025-09-05,Email,Delivered,Bengaluru
500478,10763,2025-02-15,Direct,Delivered,Ahmedabad
500479,12156,2024-02-07,Organic,Delivered,Pune
500480,14645,2024-04-20,Email,Delivered,Chennai
500481,13071,2025-08-14,Paid Search,Delivered,Mumbai
500482,14041,2024-07-30,Affiliate,Delivered,Noida
500483,12124,2025-01-18,Organic,Delivered,Chennai
500484,11198,2025-10-16,Paid Search,Delivered,Gurugram
500485,12350,2024-07-30,Email,Delivered,Pune
500486,12022,2024-01-09,Social,Delivered,Chennai
500487,14915,2024-03-02,Organic,Delivered,Bhopal
500488,12142,2025-10-31,Organic,Delivered,Delhi
500489,13137,2025-03-14,Direct,Delivered,Mumbai
500490,12938,2024-08-28,Direct,Delivered,Noida
500491,11858,2024-02-27,Email,Delivered,Delhi
500492,11875,2025-05-23,Organic,Delivered,Kochi
500493,14224,2024-01-29,Affiliate,Delivered,Ahmedabad
500494,11051,2024-03-08,Email,Delivered,Pune
500495,12080,2025-03-10,Paid Search,Delivered,Pune
500496,13335,2025-04-13,Organic,Delivered,Ghaziabad
