return_id,order_id,return_date,return_reason,refund_status,refund_amount
800133,514429,2024-06-14,Size Issue,Refunded,52497.14
800134,507307,2024-02-10,Damaged,Refunded,2912.01
800135,508178,2024-07-13,Quality Issue,Refunded,616.04
800136,504740,2025-01-04,Quality Issue,Refunded,1824.63
800137,512173,2024-03-16,Size Issue,Refunded,1316.67
800138,504607,2024-07-06,Changed Mind,Refunded,1757.87
800139,517193,2025-09-21,Size Issue,Processing,687.96
800140,511183,2024-08-14,Damaged,Refunded,51399.59
800141,501933,2024-10-10,Size Issue,Refunded,88614.16
800142,502342,2025-10-15,Size Issue,Refunded,10780.95
800143,506397,2025-08-10,Changed Mind,Refunded,66962.08
800144,513011,2025-03-21,Changed Mind,Refunded,6847.34
800145,504802,2024-06-15,Wrong Item,Refunded,4259.1
800146,511219,2025-06-02,Quality Issue,Refunded,1553.79
800147,512830,2025-07-22,Wrong Item,Refunded,9619.19
800148,515346,2025-07-15,Wrong Item,Refunded,702.8
800149,504391,2025-01-19,Quality Issue,Refunded,1278.75
800150,502677,2025-11-08,Size Issue,Refunded,11009.55
800151,514950,2025-08-01,Quality Issue,Refunded,290.64
800152,500055,2024-07-23,Size Issue,Refunded,7860.04
800153,513637,2025-07-18,Size Issue,Refunded,507.3
800154,516194,2024-12-12,Quality Issue,Refunded,978.26
800155,506518,2025-07-24,Changed Mind,Refunded,11588.82
800156,508831,2024-10-25,Wrong Item,Refunded,8455.74
800157,510017,2025-01-05,Wrong Item,Refunded,69681.33
800158,514135,2025-10-18,Size Issue,Refunded,2399.74
800159,511548,2024-10-10,Size Issue,Refunded,4132.31
800160,517351,2025-09-21,Changed Mind,Refunded,3189.73
800161,510977,2024-09-11,Quality Issue,Refunded,20753.59
800162,501894,2024-04-29,Size Issue,Refunded,1133.35
800163,515156,2025-07-04,Wrong Item,Refunded,266.53
800164,508799,2025-12-16,Quality Issue,Refunded,1905.8
800165,502776,2025-09-30,Damaged,Refunded,957.83
800166,512111,2024-07-26,Wrong Item,Refunded,1386.59
800167,510699,2024-08-08,Wrong Item,Refunded,25675.46
800168,511196,2024-01-30,Changed Mind,Refunded,15133.28
800169,503375,2024-12-10,Damaged,Processing,33333.87
800170,506870,2024-04-06,Changed Mind,Refunded,3356.19
800171,506871,2024-04-21,Size Issue,Refunded,4749.58
800172,516919,2025-03-20,Size Issue,Refunded,23518.77
800173,516874,2025-05-10,Damaged,Refunded,5166.88
800174,512120,2025-03-04,Changed Mind,Refunded,29109.83
800175,504560,2026-01-18,Wrong Item,Refunded,10980.05
800176,506196,2025-11-16,Damaged,Processing,15031.02
800177,508704,2025-04-06,Wrong Item,Refunded,22191.06
800178,506012,2024-04-01,Size Issue,Refunded,23643.01
800179,505440,2024-02-25,Changed Mind,Refunded,8637.98
800180,517853,2025-04-26,Changed Mind,Refunded,1884.53
800181,515504,2026-01-14,Damaged,Refunded,12246.88
800182,514693,2025-08-31,Damaged,Refunded,2641.4
800183,513342,2024-01-28,Changed Mind,Refunded,13464.02
800184,505696,2024-12-29,Size Issue,Refunded,79322.96
800185,512224,2025-09-28,Wrong Item,Refunded,5762.48
800186,500508,2024-04-08,Size Issue,Refunded,95054.58
800187,511627,2024-07-21,Quality Issue,Refunded,39553.12
800188,512352,2025-05-02,Damaged,Refunded,7715.86
800189,510471,2025-03-11,Size Issue,Refunded,2246.55
800190,511459,2024-10-10,Damaged,Refunded,1234.14
800191,512426,2024-12-05,Quality Issue,Refunded,2981.01
800192,504994,2024-05-25,Quality Issue,Refunded,1411.34
800193,513198,2025-12-01,Quality Issue,Refunded,11414.08
800194,512513,2025-12-14,Changed Mind,Refunded,24057.09
800195,509009,2024-08-27,Size Issue,Refunded,8360.87
800196,507592,2024-03-10,Size Issue,Refunded,6360.28
800197,513293,2025-03-15,Changed Mind,Refunded,15411.2
800198,503579,2024-05-19,Size Issue,Refunded,4631.2
800199,507918,2024-01-29,Quality Issue,Refunded,2262.73
800200,510022,2025-08-27,Changed Mind,Refunded,7142.06
800201,502195,2024-06-05,Quality Issue,Refunded,15486.52
800202,503448,2025-08-05,Quality Issue,Refunded,8678.41
800203,505720,2024-08-31,Size Issue,Refunded,624.71
800204,508238,2025-03-31,Quality Issue,Refunded,3362.3
800205,513708,2024-07-08,Wrong Item,Refunded,4427.48
800206,512182,2025-11-14,Changed Mind,Processing,32274.28
800207,508779,2024-07-29,Size Issue,Refunded,53535.32
800208,513102,2024-08-13,Damaged,Refunded,20751.86
800209,500576,2025-08-17,Changed Mind,Refunded,3325.28
800210,515276,2025-01-14,Quality Issue,Refunded,244272.77
800211,508965,2024-08-01,Quality Issue,Refunded,451.9
800212,506360,2024-03-29,Wrong Item,Refunded,12447.4
800213,511968,2025-04-28,Wrong Item,Refunded,72076.32
800214,505437,2025-03-15,Size Issue,Refunded,2920.87
800215,501814,2025-05-18,Quality Issue,Refunded,62855.69
800216,505954,2025-01-27,Quality Issue,Refunded,865.78
800217,500441,2025-07-22,Quality Issue,Refunded,3444.42
800218,506150,2024-11-21,Size Issue,Refunded,9768.42
800219,512218,2025-11-08,Wrong Item,Refunded,24532.49
800220,504885,2024-06-03,Quality Issue,Refunded,24664.32
800221,506749,2025-02-20,Quality Issue,Refunded,34612.44
800222,500770,2025-10-30,Quality Issue,Refunded,2425.54
800223,505332,2024-09-24,Damaged,Refunded,32476.35
800224,509550,2024-12-09,Quality Issue,Refunded,6552.87
800225,514185,2026-01-15,Size Issue,Refunded,9551.86
800226,502836,2024-08-22,Quality Issue,Processing,38597.17
800227,506889,2024-08-03,Quality Issue,Refunded,56271.65
800228,514991,2024-04-12,Changed Mind,Refunded,6566.55
800229,502864,2025-10-23,Size Issue,Refunded,15675.11
800230,507702,2025-09-09,Changed Mind,Refunded,8338.73
800231,515027,2024-08-26,Changed Mind,Refunded,1869.57
800232,502528,2025-10-12,Quality Issue,Refunded,8965.84
800233,515384,2025-04-15,Size Issue,Refunded,1732.38
800234,501375,2024-10-06,Size Issue,Refunded,9737.9
800235,502226,2025-04-03,Quality Issue,Refunded,4100.11
800236,517550,2025-11-09,Quality Issue,Refunded,33673.75
800237,505279,2024-07-27,Changed Mind,Refunded,14826.1
800238,516402,2025-02-07,Size Issue,Refunded,3025.68
800239,507566,2025-10-07,Quality Issue,Refunded,4138.45
800240,508656,2025-09-05,Size Issue,Refunded,3884.29
800241,512337,2024-04-16,Changed Mind,Refunded,3825.91
800242,517547,2024-10-13,Quality Issue,Refunded,24552.55
800243,501918,2024-08-19,Changed Mind,Refunded,1220.54
800244,502418,2025-06-22,Damaged,Processing,29213.38
800245,513194,2025-08-27,Changed Mind,Refunded,45783.1
800246,514019,2024-01-29,Quality Issue,Refunded,9582.65
800247,516297,2025-04-10,Changed Mind,Refunded,1417.32
800248,511176,2025-08-24,Quality Issue,Refunded,17718.82
800249,511983,2025-02-26,Quality Issue,Refunded,5158.21
800250,504093,2025-02-21,Quality Issue,Refunded,10078.52
800251,511231,2025-06-10,Changed Mind,Refunded,3304.51
800252,510046,2025-08-14,Quality Issue,Refunded,275.35
800253,503500,2024-04-20,Size Issue,Refunded,8655.84
800254,500301,2025-10-09,Size Issue,Refunded,1239.73
800255,509151,2024-09-01,Damaged,Refunded,5892.88
800256,504256,2025-08-07,Damaged,Refunded,58075.79
800257,503249,2024-01-29,Wrong Item,Refunded,30036.4
800258,504382,2025-10-12,Size Issue,Refunded,11346.87
800259,517698,2025-11-20,Quality Issue,Refunded,1050.25
800260,510483,2025-03-27,Changed Mind,Processing,5046.54
800261,506676,2024-03-04,Size Issue,Refunded,20002.58
800262,517883,2025-10-09,Changed Mind,Refunded,24312.62
800263,509288,2025-04-25,Damaged,Refunded,61789.71
800264,502667,2025-03-27,Quality Issue,Refunded,700.38
800265,503863,2025-09-02,Damaged,Processing,1470.6
800266,507906,2024-05-12,Changed Mind,Refunded,1169.46
800267,502206,2025-06-26,Size Issue,Refunded,34497.63
800268,504996,2024-06-07,Damaged,Refunded,21034.83
800269,504298,2024-04-05,Size Issue,Refunded,4373.43
800270,517947,2024-09-22,Changed Mind,Refunded,8833.0
800271,513897,2025-10-22,Wrong Item,Refunded,1472.05
800272,516081,2025-06-21,Changed Mind,Refunded,6170.46
800273,504612,2025-04-18,Quality Issue,Refunded,7706.02
800274,509430,2024-10-15,Size Issue,Refunded,7086.42
800275,510314,2025-06-25,Quality Issue,Refunded,473.63
800276,500646,2024-11-22,Wrong Item,Refunded,6307.57
800277,500446,2025-10-03,Damaged,Refunded,44797.09
800278,513848,2026-01-12,Size Issue,Refunded,953.77
800279,517137,2025-09-20,Damaged,Refunded,6708.13
800280,512958,2025-03-29,Quality Issue,Refunded,7604.75
800281,505490,2024-10-15,Changed Mind,Refunded,4966.93
800282,502764,2026-01-07,Damaged,Refunded,324.67
800283,515239,2025-03-06,Changed Mind,Refunded,994.54
800284,505067,2025-05-09,Size Issue,Refunded,2480.48
800285,516648,2024-09-08,Size Issue,Refunded,7896.27
800286,501171,2025-03-12,Wrong Item,Refunded,8502.39
800287,509611,2024-08-06,Wrong Item,Refunded,5057.03
800288,504241,2025-05-21,Damaged,Refunded,9075.9
800289,504727,2024-04-11,Quality Issue,Refunded,30947.46
800290,507347,2025-05-09,Size Issue,Refunded,8302.4
800291,514782,2025-01-25,Damaged,Processing,10041.74
800292,516243,2024-09-08,Damaged,Refunded,1124.43
800293,517992,2025-06-02,Quality Issue,Refunded,661.43
800294,501987,2025-03-27,Size Issue,Refunded,7218.23
800295,507691,2024-04-01,Size Issue,Refunded,7444.39
800296,502878,2024-05-04,Size Issue,Refunded,547.39
800297,516191,2024-12-31,Size Issue,Refunded,789.39
800298,503974,2024-12-11,Changed Mind,Refunded,3449.65
800299,506635,2025-11-29,Size Issue,Refunded,8808.32
800300,506911,2025-01-19,Damaged,Refunded,3980.35
800301,510601,2025-01-08,Size Issue,Refunded,3481.19
800302,501260,2025-01-11,Damaged,Refunded,9269.1
800303,500966,2025-11-04,Size Issue,Refunded,1626.84
800304,504762,2024-09-13,Size Issue,Refunded,5008.95
800305,510133,2026-01-22,Size Issue,Refunded,4480.57
800306,516982,2025-01-18,Size Issue,Refunded,1197.65
800307,501432,2025-12-27,Damaged,Refunded,11795.29
800308,516859,2024-11-02,Changed Mind,Refunded,826.99
800309,512228,2024-02-06,Size Issue,Refunded,1251.49
800310,503241,2024-08-08,Damaged,Refunded,22737.78
800311,513080,2025-07-15,Size Issue,Refunded,304.27
800312,517492,2025-10-27,Quality Issue,Refunded,2880.52
800313,504830,2025-12-02,Size Issue,Refunded,3285.5
800314,505027,2025-06-29,Quality Issue,Processing,481.67
800315,501053,2025-12-08,Quality Issue,Refunded,2154.25
800316,516742,2024-11-01,Changed Mind,Refunded,131635.88
800317,510411,2024-06-20,Quality Issue,Refunded,1578.78
800318,507540,2024-12-23,Damaged,Refunded,3283.28
800319,511393,2024-06-15,Quality Issue,Refunded,535.19
800320,500176,2025-06-02,Wrong Item,Refunded,24023.26
800321,506198,2024-12-01,Quality Issue,Refunded,12309.12
800322,507430,2025-03-14,Damaged,Refunded,16007.94
800323,506126,2025-10-18,Size Issue,Refunded,11499.21
800324,517164,2025-05-29,Size Issue,Refunded,41490.9
800325,508854,2024-09-21,Quality Issue,Refunded,32570.3
800326,508688,2025-04-28,Wrong Item,Refunded,13281.76
800327,515373,2025-01-25,Size Issue,Refunded,9591.49
800328,509681,2025-02-16,Changed Mind,Refunded,1635.93
800329,513044,2024-05-06,Wrong Item,Refunded,39837.1
800330,512323,2024-03-26,Quality Issue,Refunded,20788.3
800331,511353,2024-12-26,Wrong Item,Refunded,1301.72
800332,508841,2024-11-07,Size Issue,Refunded,53037.7
800333,507766,2024-11-30,Quality Issue,Refunded,35606.34
800334,513386,2024-07-23,Size Issue,Refunded,10288.77
800335,511347,2024-09-01,Quality Issue,Refunded,3619.67
800336,508310,2024-11-01,Wrong Item,Refunded,6768.24
800337,508544,2026-01-14,Damaged,Refunded,16000.09
800338,504615,2025-05-27,Wrong Item,Refunded,4765.26
800339,502805,2025-07-13,Damaged,Refunded,8315.43
800340,502352,2024-04-07,Size Issue,Refunded,871.69
800341,508842,2024-09-09,Damaged,Refunded,1591.04
800342,506148,2024-06-09,Quality Issue,Refunded,3765.71
800343,506490,2024-05-22,Size Issue,Refunded,938.62
800344,512729,2025-12-21,Quality Issue,Refunded,10967.93
800345,511724,2024-02-06,Damaged,Refunded,1581.43
800346,506310,2024-02-07,Quality Issue,Refunded,337.23
800347,508961,2025-11-20,Size Issue,Refunded,794.08
800348,506687,2025-04-09,Quality Issue,Refunded,2670.1
800349,502162,2025-07-08,Wrong Item,Refunded,10869.56
800350,504619,2025-05-12,Changed Mind,Refunded,60799.44
800351,511339,2025-01-22,Quality Issue,Refunded,9149.08
800352,517754,2025-07-24,Changed Mind,Refunded,3955.08
800353,517858,2025-07-15,Wrong Item,Refunded,130645.56
800354,517556,2024-06-02,Wrong Item,Refunded,6990.67
800355,512551,2025-03-02,Damaged,Refunded,3109.7
800356,507394,2025-12-21,Damaged,Refunded,11075.75
800357,510572,2025-08-08,Quality Issue,Refunded,21317.41
800358,510577,2025-10-29,Wrong Item,Refunded,8181.63
800359,508173,2024-10-16,Changed Mind,Refunded,2693.42
800360,508980,2024-08-18,Wrong Item,Refunded,54737.84
800361,513177,2025-10-25,Size Issue,Refunded,1577.44
800362,508262,2024-11-07,Quality Issue,Refunded,4599.86
800363,508810,2025-09-10,Size Issue,Refunded,5074.85
800364,514699,2025-07-27,Changed Mind,Refunded,43390.18
800365,501137,2024-04-28,Wrong Item,Processing,568.36
800366,513415,2024-08-15,Wrong Item,Refunded,4521.29
800367,506259,2025-10-31,Size Issue,Refunded,4636.89
800368,514208,2024-09-15,Changed Mind,Processing,53398.96
800369,505400,2024-03-02,Quality Issue,Refunded,13572.33
800370,506828,2025-03-28,Changed Mind,Refunded,191.93
800371,510007,2025-12-20,Changed Mind,Refunded,7743.07
800372,512536,2025-05-02,Quality Issue,Refunded,9254.29
800373,514244,2024-02-18,Quality Issue,Refunded,19892.74
800374,511776,2025-08-17,Changed Mind,Refunded,19003.5
800375,515691,2024-07-19,Wrong Item,Refunded,419.53
800376,505965,2025-08-23,Quality Issue,Refunded,1299.09
800377,505223,2024-11-02,Wrong Item,Refunded,5139.11
800378,507992,2024-07-30,Quality Issue,Refunded,5144.71
800379,514498,2025-03-21,Changed Mind,Refunded,1519.87
800380,503359,2025-12-16,Size Issue,Refunded,4274.68
800381,502746,2025-09-22,Size Issue,Processing,1253.12
800382,509730,2024-04-23,Damaged,Refunded,11455.27
800383,502337,2025-08-14,Size Issue,Refunded,47706.32
800384,500069,2025-08-22,Size Issue,Refunded,1264.52
800385,508774,2024-09-17,Quality Issue,Refunded,27043.71
800386,507369,2024-03-31,Size Issue,Refunded,11679.33
800387,508685,2024-05-02,Size Issue,Refunded,38210.26
800388,504459,2024-05-12,Wrong Item,Refunded,14400.08
800389,507720,2025-08-14,Damaged,Refunded,19300.59
800390,505131,2025-05-04,Damaged,Processing,10637.56
800391,505620,2024-04-06,Wrong Item,Refunded,759.32
800392,512764,2025-09-17,Size Issue,Refunded,3806.33
800393,503473,2024-12-01,Wrong Item,Refunded,1738.75
800394,510906,2025-03-15,Wrong Item,Refunded,585.68
800395,502810,2025-01-08,Quality Issue,Refunded,3943.62
800396,510909,2024-04-02,Quality Issue,Refunded,670.69
800397,508752,2024-01-07,Quality Issue,Refunded,265.01
800398,502460,2024-12-19,Damaged,Refunded,1675.9
800399,513135,2024-12-20,Quality Issue,Refunded,1926.05
800400,512648,2024-12-10,Quality Issue,Refunded,78802.21
800401,506209,2024-06-02,Quality Issue,Refunded,3559.01
800402,515077,2025-07-29,Quality Issue,Refunded,9254.29
800403,501823,2024-09-09,Wrong Item,Refunded,16709.15
800404,506652,2024-07-30,Quality Issue,Refunded,47822.9
800405,510271,2025-07-13,Size Issue,Refunded,26979.0
800406,504480,2025-03-20,Changed Mind,Refunded,39902.28
800407,517112,2024-02-02,Size Issue,Refunded,1310.88
800408,514122,2025-11-26,Changed Mind,Refunded,6760.52
800409,505449,2025-04-09,Size Issue,Refunded,4155.68
800410,500109,2024-10-12,Damaged,Refunded,8780.34
800411,516375,2025-02-22,Quality Issue,Refunded,493.21
800412,507091,2025-04-02,Size Issue,Refunded,2533.11
800413,517608,2025-08-31,Damaged,Refunded,1995.14
800414,502634,2026-01-03,Quality Issue,Refunded,9335.65
800415,504921,2025-02-27,Damaged,Refunded,5609.74
800416,500906,2025-12-20,Quality Issue,Refunded,2915.22
800417,506350,2024-08-30,Quality Issue,Refunded,13935.93
800418,515658,2024-11-25,Wrong Item,Refunded,7341.87
800419,509016,2025-10-07,Quality Issue,Refunded,497.02
800420,500572,2024-02-25,Quality Issue,Refunded,5225.66
800421,511727,2024-08-18,Size Issue,Refunded,10324.26
800422,503664,2025-05-09,Size Issue,Refunded,7991.94
800423,516059,2025-10-12,Quality Issue,Refunded,2312.5
800424,516103,2024-12-16,Quality Issue,Refunded,6605.98
800425,504518,2025-09-14,Changed Mind,Refunded,35332.97
800426,509884,2024-09-17,Quality Issue,Refunded,2010.77
800427,510465,2025-01-06,Damaged,Refunded,37284.71
800428,509581,2025-06-08,Wrong Item,Refunded,75180.47
800429,506593,2024-03-22,Quality Issue,Refunded,1676.82
800430,510243,2024-07-03,Damaged,Refunded,15930.25
800431,514067,2025-03-03,Damaged,Refunded,46121.08
800432,501366,2025-04-13,Size Issue,Refunded,14212.4
800433,500716,2025-06-23,Wrong Item,Refunded,5474.24
800434,507469,2024-10-30,Changed Mind,Refunded,9254.29
800435,513816,2024-02-29,Wrong Item,Refunded,3803.49
800436,506563,2025-09-17,Wrong Item,Refunded,6233.78
800437,503479,2025-02-24,Damaged,Refunded,16046.29
800438,515117,2024-07-17,Size Issue,Refunded,2071.46
800439,503575,2025-10-14,Changed Mind,Refunded,2312.5
800440,508705,2025-08-26,Wrong Item,Refunded,8550.66
800441,516523,2024-01-31,Quality Issue,Refunded,1440.81
800442,515940,2025-11-20,Size Issue,Refunded,1261.16
800443,501176,2025-02-05,Size Issue,Refunded,6962.38
800444,514026,2025-05-06,Quality Issue,Refunded,16764.8
800445,505182,2024-12-07,Wrong Item,Processing,2367.92
800446,515374,2024-11-16,Size Issue,Refunded,32365.17
800447,503787,2024-06-04,Damaged,Refunded,549.39
800448,501496,2024-12-08,Size Issue,Refunded,1472.05
800449,514910,2024-04-21,Quality Issue,Refunded,507.3
800450,516897,2025-06-23,Damaged,Refunded,9840.89
800451,502531,2025-08-22,Size Issue,Refunded,2565.38
800452,512039,2024-10-30,Size Issue,Refunded,6654.22
800453,505732,2024-06-11,Quality Issue,Refunded,47740.99
800454,510893,2025-03-22,Damaged,Refunded,2876.74
800455,507787,2024-02-20,Quality Issue,Processing,888.64
800456,512602,2024-02-16,Quality Issue,Refunded,12644.5
800457,510566,2024-12-17,Size Issue,Refunded,7376.6
800458,501855,2025-11-17,Changed Mind,Refunded,7183.5
800459,511221,2025-01-15,Quality Issue,Refunded,229.46
800460,504943,2025-10-20,Quality Issue,Refunded,17569.06
800461,509873,2024-08-30,Quality Issue,Refunded,959.25
800462,502969,2025-05-10,Size Issue,Refunded,8295.95
800463,517328,2024-06-15,Size Issue,Refunded,2506.08
800464,502949,2024-11-30,Size Issue,Refunded,4222.87
800465,507536,2024-07-10,Size Issue,Refunded,23806.9
800466,513050,2025-09-02,Changed Mind,Refunded,97120.28
800467,500259,2024-12-18,Size Issue,Refunded,17453.23
800468,506600,2025-02-14,Quality Issue,Refunded,130132.85
800469,505173,2025-05-24,Quality Issue,Refunded,36895.49
800470,507763,2025-03-03,Damaged,Refunded,27373.48
800471,506070,2025-08-15,Damaged,Refunded,8642.14
800472,503822,2024-10-17,Size Issue,Refunded,22412.72
800473,512909,2025-10-05,Changed Mind,Refunded,47767.1
800474,505970,2024-12-29,Quality Issue,Refunded,342.7
800475,504636,2025-03-08,Quality Issue,Refunded,871.2
800476,502016,2025-01-20,Size Issue,Refunded,1626.38
